stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0.95,0,0,0,0,0
 24-34,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0.64,0.63,0,0,0,0,0,1.48,0,0,0,0,0,0.63,0,0,0,0,3.22,0,0
 36-46,0,0,0,0,0,13.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.62,0,0,0,0,0,0,0,0,0,0,1.33,0,0
 48-58,0,0,0,0,0,171.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.42,0,0,0,0,0,10.41,0,0,1.34,0,0.4,0,0
 60-70,0,0,0.58,0,0,1021.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,4.67,1.5,0,0,0
 72-82,0,0,0.77,1.48,0,2153.42,0,0,0,9.23,0,2.9,0,1.27,0,0.66,0,0,11.9,0,0,53.23,0,0,1.51,0,0.51,4.56,0,0,6.51,0.5,3.45,0,0
 84-94,0,0,6.24,10.87,0,3174.67,0,0.59,0.89,6.31,1.58,0,0,5,1.68,0,0,0,2.36,0,0,37.7,0.6,0,0,0,11.86,0,0,0,1.98,0,0,1.57,0
 96-106,0,0,76.83,9.89,0,4212.59,22.78,0.57,0,5.22,1.89,0,1.64,3.4,0.73,0,27.7,0,12.97,3.37,3.38,91.64,0,3.98,3.04,0,11.01,0.99,0.68,0,5.22,0,5.93,1.13,4.45
108-118,0,0.84,1.91,11.73,0,4155.4,0.75,7.65,0,28.56,0.74,0,0,3.16,0.72,4.73,4.46,2.99,45.42,1.32,3,64.26,0,1.69,0,0,6.43,0,0,0,0,0,3.66,2.72,0
120,0,0,23.52,0,3.02,5922.53,0,7.3,0,40.99,3.28,0,0,13.73,0,0,11.34,0,11.16,0,9.99,141.96,0,8.55,10.23,0,9.63,5.11,0,0,0,0,15.33,0,0
