stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,9.22,79.76,1013.6,263.21,0,764.82,0,0,0,371.96,37.56,2.04,14.56,1.04,24.98,3.76,0.93,1.46,8.96,544.71,0,0,445.18,17532.5,150.43,56.1,214.1,176.74,0,320.61,25.16,905.37,151.81,25.92,888.26,5254.57,0,0,35.96,0,6.64
 24-34,4.02,4.54,15.21,160.21,17.88,0,936.92,0,8.64,12.5,501.14,5.24,3.61,13.72,3.45,10.37,10.23,14.83,11.11,24.92,795.75,2.79,3.1,278.32,23596.45,17.5,113.37,119.58,0,0,52.62,3.21,4.13,24.88,8.05,104.26,4293.65,0,0,140.1,0,21.58
 36-46,1.6,3.58,0,97.32,0.6,0,1793.42,0.58,9.83,13.33,1765.08,1.68,0,21.65,1.8,0,39.96,13.22,5.39,32.77,998.28,0.65,5.75,159.41,31708.59,31.07,56.24,82.4,0,0,31.03,6.27,6.39,25.5,9.03,1.53,5349.12,0,0,96.19,0.78,44.2
 48-58,1.32,4.1,0,148.18,2.98,0,5513.42,8.15,18.27,24.51,3333.64,2.76,0,15.27,17.78,1.49,55.17,18.08,31.89,12.74,1621.47,4.89,49.65,186.18,31872.21,11.63,45.76,77.4,0,5.75,22.7,2.94,0,18.65,11.05,0,5596.61,0,1.94,50.2,1.5,107.27
 60-70,0,1.3,0,82.63,1.74,0,9759.64,5.23,15.45,32.08,2975.12,21.86,0.66,11.9,24.55,2.57,55.41,7.89,2.84,6.91,1455.29,1.83,69.3,99.73,26882.55,7.53,29.84,58.35,0,10.6,36.64,0,0,7.63,6.61,0,3382.3,1.76,20.99,53.46,12.64,86.44
 72-82,0,14.83,1.35,141.5,15.26,0.52,6802.88,5.94,2.59,36.3,2043.07,10.18,0,24.51,20.49,9.02,56.86,6.16,3.12,18.24,1570.35,0.74,40.17,112.63,16780.47,2.42,30.44,66.24,0,9.64,35.5,1.65,0,6.6,5.82,0,1327.43,11.38,36.32,65.49,36.19,124.96
 84-94,0,6.48,0,191.39,29.08,0,4761.13,1.27,25.87,34.94,1464.34,20.23,2.06,26.51,26.7,16.23,74.86,11.12,18.59,16.45,1332.84,1.6,63.11,161.34,11273.61,16.37,34.08,42.7,0,1.55,20.45,0,0,12.23,0.83,0,1165.6,5.78,45.65,63.25,42.69,53.78
 96-106,1.12,7.31,0,186.57,51.77,1.52,3340.46,5.51,23.08,19.27,1188.47,22.95,0,18.65,20.85,3.12,39,10.12,43.68,2.79,868.22,7.22,39.52,95.14,7935.75,3.34,39.35,51.95,0,41.59,59.73,1.55,0,8.55,5.78,0,453.02,13.2,27.22,69.58,46.18,28.58
108-118,0,8.56,4.45,122.91,31.19,4.18,2831.12,1.09,6.51,44.32,1193.95,29.66,0,9.97,40.87,5.54,47.1,12.35,15.77,7.73,786.58,2.81,26.88,69.07,11571.94,5.99,54.07,57.16,0,30.63,23.28,2.03,0,11.09,1.39,0,389.66,12.01,18.4,48.88,22,27.76
120,0,7.29,0,131.45,18.79,0,2245.83,2.34,2.26,31.91,1276.49,29.29,0,4.87,26.67,2.78,24.74,6.36,54.6,1.51,630.98,0,55.43,75.8,13087.06,1.25,56.73,41.56,0,2.67,31.52,0,0,12.02,1.63,0,345.2,7.71,16.06,34.29,58.05,22.24
