stage,epidermis,erythrocytes,eye,glial,immune,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,4.74,0,0,9.18,0,0,0,0,0
 14-21,0.93,0.8,0.8,0.91,0,0,0.83,1.06,15.25,0,0,0,0,2.01,0,1.03,0
 24-34,0,0,1.43,1.07,0,0,2.7,0.63,26.29,0.63,0.73,0,1.7,0,1.09,3.38,1.32
 36-46,0.72,0,4.21,0,0,0,0.95,0,17.39,0,0,0,0,0,0,2.9,0
 48-58,1.7,0,3.75,0.53,0,0,2.23,0.57,7.34,0,0,0,0,0,0,3.52,0
 60-70,0,0,2.86,0,0,0,1.82,0,6.31,0,0,0,3.51,0,0,0.69,0
 72-82,0,0,3.78,3.29,0,0,1.19,0,11.37,0,0,0,0,0,0,0,0
 84-94,0,0,0.69,0,0,1.97,2.84,0,13.45,0,1.67,0,0,0,0,0,0
 96-106,1.42,0,0,3.16,0,0,1.59,0,8.3,0,0,0,0,0,0,0,0
108-118,0,0,2.11,2.93,0.49,0,2.59,0,7.47,0,0,0,0,0,0,0,0
120,0,0,3.22,0,0,0,27.31,0,46.85,0,0,0,0,0,0,2.54,0
