stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.57,0,0,0,7.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,13.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.93,0,0,0,40.9,0,0,0,0,126.93,0,0,0,0,0,0,0,0
 14-21,0,4.61,0,28.66,1.53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.85,0,0,0,0,0,0,0,11.89,8.36,0,5.52,0,0,0,0,0,0
 24-34,0,3.76,0,0.6,0,0,0.96,0,0,0,1,0,0,0,0,0,0,2.68,0,0,0.8,37.39,0,1.32,0,0,0,0,0,0,562.53,0,0,10.52,0,0,0,0,0
 36-46,0,10.91,0,0,0,0,0.98,0,0,0,0.57,0,0,0,0,0,0,1.59,0,0,0,877.25,0,0,0,0,0,1.22,0,0,949.51,0,0,5.77,0,0,0,0,0
 48-58,0,0.49,0,0,0,0,13.29,0,0,0,3.15,0,0,0,0,0,3.72,341.62,0,0,0,1402.68,0,0.58,0,0,0,0.42,0,0,952.91,2.07,0,9.51,0,0,3.29,0,5.41
 60-70,0,1.9,0,1.27,0,0,85.17,0,0,0.93,25.4,0,0,0,0,0.8,0,9.44,0,0,10.86,115.85,0,0,0,0,0,8.92,0,0,1873.99,2.31,0,21.9,0,5.01,0,0,5.9
 72-82,0,0,0,2.03,4.23,0,65.03,0,0,0,24.78,0.62,4.27,0,0.63,0,0,18.76,0,1.73,0,158.3,0,0,1.99,0,0,3.58,0,0,2012.41,0,0,4.44,0,2.44,24.11,0,8.36
 84-94,0,0,0,0,0,0,39.14,0,0,0,17.73,0.61,0,0,0.69,0,0,65.53,0,1.33,2.97,316.03,0,0,0.86,0,0,65.25,0,0,0,0,0,0,0,0.64,2.46,3.32,8.31
 96-106,0,1.08,0,40.88,35.88,3.58,54.35,1.36,3.35,0.62,16.08,2.12,0.96,6.55,0.73,2.24,6.2,32.12,3.89,0.8,2.34,193.4,0,1.88,4.04,0,1.44,211.62,779.38,0,2263.79,0,0,1145.22,18.73,0,2.91,1.52,5.14
108-118,0,0.41,0,2.74,6.8,2.77,28.69,0,0,1.23,1.49,0,0,3.66,0,0,0,23.01,0,1.87,1.3,3819.81,0.5,0,0,0,3.7,478.09,0,0,865.97,0,0,0,0,0.67,3.05,0,2.59
120,0,0,0,1.24,4.22,1.71,47.18,0,0,0,7.92,2.17,0,0,2.19,0,0,748.62,0,0,14.51,51.22,4.99,0,0,0,0,0,4.99,0,714.74,0,0,0,0,0,17.09,0,0
