stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.92,601.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.25,0,0,0,0,0,0,0,0,0
  5-6,14.16,303.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.04,0,0,0,17.91,0,0,0,0,0,0,0,0,0
  7-9,3.69,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,0,0,28.13,0,0,49.24,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.03,0,0,0,0,6.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.05,0,0.93,0,0,0,0,0,0,0,0,0,3.33,0,0,5.6,0,0,0,2.23,0,0.84,0,3.83,0.81,0,0,0,0
 24-34,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,17.27,0,0,0,2.79,0,0,1.82,6.4,1.29,0,2.57,0,0
 36-46,0,0,0,1.36,0,0,0,0,0,0,0,0,17.12,0,0,1.95,0,3.6,25.74,0,0,0,11.22,0,0,0,0,1.57,0,0.92,0,0
 48-58,0,0,0,0.55,0,0,0,0,0,0,0.42,0.4,0,0,0.83,0.49,0,0,29.17,0,1.41,0,1.47,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.82,0,0,0,0,0,0,0,0,5.29,0,0,30.6,0,0,0,2.59,0,0,0,0,1.65,0,0,0,0
 72-82,0,0,0,0,0,11.85,0,0.82,3.85,0.53,0,0,0,4.74,0,19.13,0.49,0,67.92,0,0,0,0.96,0,0,0,0,2.58,4.02,0,34.34,0
 84-94,0,0,0,0,0,6.5,0,1.27,0,1.93,0,0,0,29.6,0,33.55,0,0,41.26,0,0,0,4.72,0,0,0,0,0.66,11.35,0,23.91,0
 96-106,0,0,6.02,0,3.9,0,0.98,0,0,0,0.78,0,0,61.65,0,33.48,0,0,42.34,0,0,0,5.35,2.7,0,0,0,1.73,33.3,0,18.35,0.73
108-118,0,0,2.28,3.21,0.72,20.88,0,0.75,0,10.72,2.66,0,0,564.57,0,114.22,0,3.24,86.1,1.52,1.5,0,8.92,0,0,1.14,0,0.42,21.07,0,57.58,0
120,0,0,1.73,0,0,4.92,0,0,9.79,1.01,0,0,0,141.64,0,146.6,0,0,151.97,0,0,0,7.84,0,0,0,0,0,0,0,46.25,0
