stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,liver,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,0,35.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.31,20.59,0,0,0,0,0,0,0,16.07,0,0,7.38,0,0,0,0
  7-9,0,4.71,0,0,4.9,0,0,0,0,6.9,0,0,0,0,0,0,0
 10-12,0,0,4.07,0,0,0,0,0,0,5.75,0,4.93,0,0,10.84,0,0
 14-21,0,0,0,0.95,0,0,2.36,0,2.75,12.89,0,0,0,3.93,1.13,0.96,4.48
 24-34,0,0,0,0,0,0,0.95,0,1.89,0,0.77,0,0,0,0,0.64,1.37
 36-46,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,2.96
 48-58,0,0,0,0,0,0,0,0,0,2.43,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.72,0,1.09,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.22,0,0,0.96,0,0,0,0,0,0
108-118,0,0,0,0,0,0.59,0.76,0,0,0.98,0,0,0,0,0,0,0
