stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,heart,immune,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,439.25,3592.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.09,0,0,0,0,0,0,0
  5-6,758.91,4663.14,21.17,0,0,0,0,32.73,0,0,0,0,0,557.49,0,183.47,26.87,0,0,0,0,0,0,0
  7-9,0,71.84,195.18,0,0,0,0,18.85,0,0,0,0,0,300.13,25.35,1065.01,0,21.17,0,23.1,0,0,0,0
 10-12,0,160.33,133.74,0,19.87,0,0,19.56,0,0,0,0,0,45.13,0,230.93,0,0,0,611.71,0,0,0,0
 14-21,0,0,0,1.97,1087.53,0,0,0,0.92,0,0,2.65,0.9,5.9,0,0,0,0,0.98,0,3.47,1.79,0,18.16
 24-34,0,0,0,0,298.95,0,0,0,1,1.94,0,2.38,1.24,19.34,0,0,0.7,0,0,0,0,2.75,6.58,14.39
 36-46,0,0,0,0,9.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0.8
 48-58,0,0,0,0,9.3,0,0,0,0,0,0,0,0,7.94,0,0,0,0,0,0,0,0,0,3.58
 60-70,0,0,0,0,21.66,0,0,0,0,0,0,0,0,15.81,0,0,0,0,0,0,0,0,0,4.13
 72-82,0,0,0,0,47.08,0,0,0,0,0,0,0,0,9.97,0,0,0,0,0,0,0,0,0,2.15
 84-94,0,0,0,0,29.19,0,0,0,0,0.7,3.19,2.71,0,0,0,0,0,0,0,0,0,0,0,1.16
 96-106,0,0,0,0,42.12,0,0,0,1.33,1.34,0,4.05,0,2.02,0,0,0,0,0,0,0,0,0,3.75
108-118,0,0,0.49,0.56,48.34,0.47,0.78,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,3.25
120,0,0,0,0,51.33,4.58,0,0,0,0,0,2.88,0,9.81,0,0,2.18,0,0,0,0,0,0,2.2
