stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,xanthophores
  7-9,0,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.6,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.94,0,0,0,0,0,0,0,0,0,11.77,0,0,0,0,0,0,0,0,0,7.24,0,0,4.74,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.78,0,0,0,0,0,0,0.83,404.16,0,0,0,0,0,0,0,0,4.11,7.85,0,0,0,0,0,2.87,0.89,0.88,5.65,5.51,0,0
 24-34,0,0,14.43,0,0.82,0,0,1.47,2.34,0,329.01,0,1.13,0,0,0,11.59,1.31,0,0.82,38.14,0,0,0,0,0.7,0,0,1.16,2.55,11.86,0,2.6
 36-46,0,0,1.93,0,0,0,0,6.85,0,2.26,78.86,0,1.57,0,0.57,0,0.79,0,0,0,38.04,0,0,0,0,1.32,0,0,0,0,3.69,0,3.44
 48-58,0,0,0,0,3.89,0,0,2.48,0,0,125.38,0,0,0.38,0,0,5.65,0.95,0,0.85,19.48,0,0,0,0,0,0,0,0,0,0.77,0,2.8
 60-70,0,0,2.02,0,10.36,0,0,10.16,1.67,0,65.52,0,0.6,0,0,0,0.93,0,0,0.81,15.42,0,0,0,0,0,0,0,0,0,0,0,1.56
 72-82,0,0,0,0,12.72,1.95,2.2,2.55,7.21,0,42.12,0,0,0,0,0,0,2.54,2.93,0.69,19.35,9.68,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,4.64,0,1.14,0,0,7.78,2.79,0,57.01,1.04,0,0,0,0,16.64,0.97,0,3.6,7.91,0,0,0,0,1.61,0,1.62,0,0,1.25,1.91,1.21
 96-106,0,0,5.68,0,4.94,0,0,1.62,1.13,0,0,0,0,0,0,0,1.95,6.09,0.75,0,1.22,0,0.59,0,1.54,2.93,0,1.03,0,0,0,0,0
108-118,0,0,2.03,1.04,22.78,0,0.58,4.7,6.28,0.64,0,2.79,0,0.44,0,0,11.06,2.37,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,1.25
120,0,0,1.48,5.89,4.91,0,0,0,4.73,3.32,0,1.85,0,0,0,3.28,12.07,2.4,0,0,35.46,0,0,0,0,3.88,0,0,0,0,0,0,0
