stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,immune,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,11.51,224.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.22,82.22,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0
  7-9,0,3.67,0,0,5.59,0,0,0,0,17.87,0,0,24.1,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,18.34,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0,1.5,0
 24-34,0,0,4.93,0,0,1.72,0,0,0,17.18,0,1.07,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.71,0,0,0,2.42,18.83,0
 48-58,0,0,0,0,0.56,0,0,7.35,0,22.63,0,0,0,0,1.49,0
 60-70,0,0,0,0,2.1,0,0,0,0,0,0,0,0,3.36,0,2.1
 72-82,0,0,0,0,2.02,0,0.56,1.56,0,1.03,0,0,0,0,0,1.01
 84-94,0,0,0,0.63,0,0,0,0,0,2.87,0,0,0,0,0,0
 96-106,0,0,1.07,0,0,0,0,1.82,0,0,0,0,0,2.5,0,0
108-118,0,0,0.77,0,3.94,0,0,2.76,0,7.09,0,2.83,0,0,0,0
120,0,0,0,1.51,4.76,0,0,0,1.04,3,1.81,0,0,0,0,0
