stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,hatching.gland,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,34.21,451.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.87,0,0,0,0,0,0
  5-6,49.24,1008.19,0,0,0,0,0,0,0,0,0,0,0,22.89,0,0,22.17,15.99,0,0,0,0,0,0
  7-9,27.64,55,59.99,0,5.98,104.74,0,0,0,28.29,0,0,0,898.72,15.48,0,308.56,3.31,10.51,0,0,0,0,0
 10-12,0,20.28,72.2,0,0,126.69,0,0,0,13.89,0,0,0,1143.32,34.21,0,361.03,4.33,0,0,59.15,5.41,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1.46,0,0,0,0,0,0,0,0,0.62,0.96
 36-46,0,0,0,0,0,0,0.64,0,0,0,0,0,0,18.99,0,1.93,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.6,0,6.67,0,2.94,0,0,0,0,0,19.51,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.95,0,5.27,0,0,0,0,0,7.72,0,0,0,0,0,1.38,0,0,4.83,0
 72-82,0,0,0,0,0,0,0,0,14.33,0,0,0,0,8,0,0,0,0,0,0,0,0,2.36,0
 84-94,0,0,0,0.73,0,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,5.57,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,2.79,0,0,2.56,0,1.37,5.46,0,0,0,0,0,0,0,0,0,0,0,0
