stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.43,247.29,0,0,22.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.93,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,5.55,5.01,2031.84,0,0,0,0,0,0,0,1.81,3.79,0,0,0,0
 24-34,0,0,1.71,0,0,6.1,0,0.7,10.02,0,0,0,0,0,0,0,0,0,0,39.78,0,0,17.41,39.79,1069.13,0,0,0,0,11.31,0,0,1.91,4.23,0,3.21,0,0
 36-46,0,0,0,0,0,5.96,0,1.06,28.71,0,0,0,2.04,0,0,0,0,0,0,331.77,0,0,18.76,24.48,754.03,0,0,0,0,0,0,0,0,3.97,0,6.08,0,0
 48-58,0,0,0.54,0,0,28.11,0,10.17,179.91,10.27,0,0,0,0,0,0,0.5,0,0,722.65,0,0,54.62,62.17,684.99,0,0,0,0,0.39,0,0,0,6.9,0,0,0,0
 60-70,3.48,0,0,0,0,29.74,0,4.07,530.27,1.9,0,0,0,0,0,5.32,0,2.4,0,1870.02,0,5.26,77.94,92.29,589.07,1.17,0,0,14.09,3.4,0,0,0,10.5,0,0.73,0.89,3.29
 72-82,0,0,9.21,0.64,0,227.44,3.89,57.13,1051.17,14.89,3.95,1.73,4.9,0,2.93,0,0.69,0,0,4477.21,1.54,10.04,149.68,181.07,523,0,4.58,0,19.23,12.15,0,0,0,12.45,12.45,2.49,4.27,8.94
 84-94,1.23,0,26.84,1.96,0,291.28,0,14.56,479.15,14.29,0.64,0,7.25,2.53,0,5,2.18,5.13,0,4461.53,1.27,25.32,154.96,54.64,947.1,0,0,0,0,12.91,0,0.68,0,7.27,6.21,1.63,5.08,0
 96-106,2.68,3.31,44.43,26.34,0.97,438.94,2.28,47.9,796.5,113.62,0.97,0,6.2,6.25,0,0,2.93,24.12,0,5273.21,2.57,25.1,135.82,224.5,986.64,4.06,6.78,0,38.98,21.48,1.1,0,0,9.48,19.12,14.42,12.65,4.45
108-118,10.54,0,21.19,16.54,0,234.18,0.44,41.22,697.64,23.21,2.71,0,4.79,3.24,1.37,0,0,4.12,0,6638.34,9.65,22.01,178.17,277.65,1475.12,3.65,3.5,0,84.34,7.96,0,0,0,4.87,48.85,0.94,9.37,2.39
120,12.61,0,4.43,13.49,0,226.99,0,15.05,641.52,11.94,12.76,0,3.83,7.3,0,0,2.64,8.18,1.61,5964.47,9.38,2.21,97.27,183.94,1942.39,0,0,0,66.26,0,0,0,0,6.18,48.72,14.96,5.45,0
