stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,vasculature
  5-6,68.77,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.46,0,0,0,0,0,7.2,0,0,0,0,0,0,26.82,3.53,0,0,0
 14-21,0,7.76,0,0,0,0,0,0,2.78,0,0,0,0,0,0,18.54,0,0.89,0,0
 24-34,0,26.46,0,0,0,2.04,0,0,5.69,0,0,0.82,0,0,5.27,1.9,0,0.99,0,2.15
 36-46,0,13.57,0,0,0,27.52,0,0,0,0,0,0,0,0,0.87,1.19,0,0.81,0,0
 48-58,0,55.21,0,1.71,0,9.24,0,0,0,0,0,0,0,2.37,5.76,0,0,6.44,0,0
 60-70,0,26.38,0,0.83,0,14.27,0,0,0,0,0,0,0,0,0,0,0,0.68,0.57,0
 72-82,0,17.4,0,1.26,0,11.14,0.62,0.59,0,1.02,0,0,0,0,0,0,0,0,0,0
 84-94,0,74.33,0,0.99,0,21.67,0,0,0,1.96,2.49,0,0,0,2.22,0,0,0,0,0
 96-106,0,50.52,0,0.73,0.62,13.98,0,0,0,5.79,0.89,4.27,0,0,0,0,0,4.09,0,0
108-118,0,51.21,0,0,0,15.14,0,0,0,0,0,0,0.5,0,13.68,0,0,4.3,0,0
120,0,37.64,0,0,0,12.35,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0
