stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.27,0,0,0,0,5.95,0,0,0,0,0,0,0
 14-21,0,0,0.86,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,2.12,0,0.93,0,0,0,0,0,2.34,0,0,0,0
 24-34,0,0,0,0,0,2.1,0,0,7.02,0,0,0,0,0,0,0,0.69,0,0,0,1.8,0.62,0,0,0,0,0,5.44,0,0,0,0
 36-46,0,0,0,0,0,3.05,0,0,4.4,0,0.93,0,0,0,0,0,0,0,0,3.87,0,0,0,0,0,0,0,3.89,0,0,0,0
 48-58,0,0.43,0,0,0,47.04,0,0,0.86,0,0,0,0,0,0.6,0,0.59,0,0.52,4.86,0.9,0,0,0,0,0,0,8.82,0,0,0,0.59
 60-70,0,0,5.78,0,0,308.88,0,0,2.32,0,0,0,0,0,0,0,3.62,0,0,10.48,0,0,0,0,0,0,0,6.19,0,0,0,3.58
 72-82,0,0,0,0,0,361.76,0,0,4.59,0,0,0,0,0,0,0,15.02,0,0,24.6,8.32,0,0,1.21,0,0,0,10.43,0,3.3,2.06,8.77
 84-94,0,0,2.45,0,0,1108.63,0,0,0,0,0,0,0,0,0,9.11,13.21,0,0.57,16.82,0,0,0,1.14,0,0,1.96,8.29,0,0,0,0
 96-106,0,0,0,0,2.28,747.62,3.09,0,3,0.67,0,1.61,0.58,0,0,0,16.66,0,1.09,50.74,1.7,1.49,0,3.41,0.76,0,0,6.24,0,2.97,1.5,10.68
108-118,0,0,2.69,7.55,2.65,1229.37,0,2.11,3.03,0,0,0.88,0,1.09,0.63,0,31.69,1.11,0.41,37.79,3.42,0,0,3.92,0,0.91,0,0,1.48,3.23,0,0
120,0,0,1.84,0,0,428.79,1.25,0,5.04,0,0,0,0,0,0,0,11.5,0,0,95.34,0,1.43,0,18.26,0,1.79,0,0,0,0,0,3.15
