stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,neural,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,17.5,68.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0
  5-6,19.1,81.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.63,0,0,0,6.2,0,0,0,0
 10-12,0,0,0,0,0,5.97,0,0,0,0,0,0,0,0,38.65,0,5.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,71.16,0,0,0,0,0,0,0,0,80.91,0.88,0,0,1.81,1.96,0,0,0
 24-34,0,0,0,0,0,5.55,0,0,0,0,0,0,0,0,9.25,0,0,0,1.06,0,14.1,0,0
 36-46,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,4.11,0,0,0,0,0,1.94,0,0
 48-58,0,0,0,0,0,10.23,3.9,0,0,0,0,0,0.46,0,1.07,0,0,2.74,0,0,14.46,0,0
 60-70,0,0,0,0,0.71,41.81,68.19,0,0,0,0,2.31,0,0,2.97,0,0,0,0,0,7.59,0,0
 72-82,0,0,0,0.56,0,29.17,170.61,0,1.21,3.21,0,1.3,0,0.93,0.78,0.84,0,0,0,0,13.12,2.29,0
 84-94,0,0,0.7,0,0,37.72,159.3,0,0,0,0,0,0,0,7.87,0,0,2.5,0,0,16.63,0,1.27
 96-106,0,0,1.09,0,1.25,62.01,278.23,0,0,1.47,0,5.94,0,0,19.32,0,0,1.05,1.55,0,6.88,0,0
108-118,0,0,0.83,0,0,48.36,172.74,1.03,0,0,6.94,1.89,0,0,7.79,0,0,1.02,0,0,3.21,0,0
120,0,0,0,0,0,21.75,60.39,3.17,0,0,0,0,0,0,6.34,0,0,0,0,0,0,0,0
