stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,166.62,2044.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0,0,0,0,0,0,0,0,0
  5-6,95.12,1539.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,43.95,36.57,0,37.47,0,0,57.48,0,0,0,0,0,11,0,0,0,0,0,0,0,673.13,49.88,0,0,234.08,0,0,0,0,0,0,0,0,0,0
 10-12,0,34.02,0,14.52,0,0,36.7,0,0,0,0,0,0,0,0,0,0,0,0,0,512.74,39.86,0,0,159.66,0,0,27.95,0,5.73,3.51,0,0,0,0
 14-21,0,0,0,0.87,5.18,4.56,3.91,0,0,0,2.75,0.85,0,0,0,0,0,6.59,0,15.22,58.35,2,0,0.88,0,2.44,7.61,0,1.91,5.05,21.55,0,0,0,0
 24-34,0,0,0,0,1.32,3.15,2.21,0,0,1.86,1.73,0,0,0,0,1.09,0,6.63,0,10.83,120.55,0,0.89,0,0,9.08,0,0,0,2.8,34.42,0,4.71,0,0.79
 36-46,0,0,0,0,1.46,0,9.84,0,0,0,7.53,0,0,0,0.91,0,0,12.15,0,3.24,111.92,0,0,0.58,0,0.66,0,0,0,0,25.26,0,2.57,0,0
 48-58,0,0,0,0,0.79,0.45,14.66,0.38,0,0,10.77,0,0,1.38,0.92,0,0,14.82,0,0.99,54.69,0.62,0,0.69,0,2.37,0,0,0,0,15.95,0,2,0,0
 60-70,0.81,0,0,0,0,0,13.03,1.34,0,0,11.57,0,0,0,0,0,1.34,25.88,0,3.36,45.08,0,0,0.77,0,8.83,0,0,0,0,11.96,0,0.67,0,0
 72-82,0,0,0,0,1.27,3.91,8.13,0,0,0.56,3.82,0,0,0,0,0,0,24.59,0.94,3.35,27.02,0,0,0.49,0,1.69,0,0.63,0,0,2.18,0.57,4.06,2.27,0.82
 84-94,0,0,2.15,0,1.9,0,10.66,0,0,0.83,15.21,1.7,0,0.61,3.08,0,0,11.84,0,2.05,18.32,1.31,1.13,0.91,0,6.27,0,0,0,0,0,0,5.81,2.03,3.76
 96-106,0,0,0,0,1.31,9.47,11.75,0,0,0,10.71,1.11,0,0,0,2.23,0,11.13,0,0,9.42,0,3.56,0,0,4.71,0,0,0,0,0,2.44,1.16,0,6.35
108-118,0,0,0,0,3.39,0,17.03,0,1.04,0.72,7.29,0,0,0.72,1.74,0,0,29.33,0,1.02,19.73,0,0,0,0,0,0,0,0,0,0,0,3.11,0,0
120,0,0,0,0,2.83,3.92,26.44,2.67,0,9.81,3.36,0,0,0,0,1.88,0,30.19,0,0,20.3,0,0,0,0,2.72,0,0,0,0,0,0,6.98,0,0
