stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.07,445.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.12,0,0,0,0,0,0,0,0,0,0
  5-6,43.23,449.9,0,0,0,0,0,0,0,0,0,0,64.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,24.4,0,0,0,0,0,0,0,0,0,0
  7-9,13.17,0,0,71.29,0,0,0,19.55,0,0,0,0,198.68,0,0,0,0,0,0,0,0,0,0,0,282.9,33.72,0,0,112.01,0,22.5,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,28.57,0,5.31,0,7.29,0,0,0,0,27.69,0,0,0,0,0,0,0,0,0,0,0,335.22,31.13,0,0,79.31,0,0,0,9.7,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.3,44.71,5.06,0,4.68,0,0,0,0.85,0,0,0,0,0,0,0,0,8.75,0,0,10.34,60.15,1.86,5.27,2.43,1.95,0,8.54,11.6,0.83,0,5.9,30.69,0,0,3.47,0,0
 24-34,0,0,0,0.68,14.04,0,0,7.6,0.85,0.64,3.91,0.67,0,5.26,0,0.62,0,2.48,0,0.67,40.32,0,0,19.2,219.36,0.64,3.07,1.33,0,0,34.74,0,2.48,0,1.96,43.23,0,0,24.31,0,0
 36-46,0,0,0,0,14.28,0,0,29.48,5.35,3.45,28.11,1.18,0,3.54,0,0,0,3.68,0,1.88,49.42,1.03,2.32,13.27,217.69,0,3.42,16.25,0,0,97.63,0,17.96,0.58,0,39.2,0,0,24.36,0,6.85
 48-58,0,1.29,0,0,18.95,1.51,0,55.31,2.31,1.7,66.18,1.83,0.97,5.95,0.52,4.06,0.39,5.3,5.74,0,99.55,0,1.99,12.88,241.37,0,4.87,1.57,0,0,48.63,0,0,0.46,0,58.1,0,0.37,44.21,0,1.27
 60-70,0,0,0,0,25.18,0,0,91.92,5.48,0,86.13,5.19,1.21,3.3,6.27,0.86,0,4.53,0,1.95,197.31,0,6.19,11.69,295.8,1.31,9.42,2.92,0,3.09,48,0,0,0,0,50.79,2.13,1.9,46.81,1.92,0
 72-82,0,0,0.53,1.12,17.2,6.43,0,80.61,6.55,5.02,87.21,4.54,0.52,9.09,3.15,0.63,1.71,10.58,0,0.69,421.45,0,5.82,9.01,187.48,0,4.38,0.57,0,0.71,28.29,0,1.09,0,0,23.07,3.84,5.25,67.19,4.78,3.18
 84-94,0,0,1.43,0,26.08,8.29,0.7,69.46,3.75,1.6,42.69,9.91,2.66,9.9,2.88,2.78,0,9.21,0,1.36,318.67,1.01,8.95,13.39,140.46,0,10.9,2.77,0,5.59,44.7,0,8.26,0,0,15.23,0,4.37,78.35,3.59,1.05
 96-106,0,0,0,0,32.46,29.95,4.27,85.88,5.79,5.8,63.49,4.01,0,12.89,5.62,3.64,1.3,24.7,19.94,0,356.88,1.23,11.32,16.94,127.21,0,8.68,7.2,0,8.18,79.48,0,3.02,0,0,21.28,0.56,12.1,114.81,4.91,4.86
108-118,0,0,0,0,39.14,0,1.13,58.86,7.92,5.63,40.26,12.61,0,9.53,7.84,4.51,3.92,8.88,3.39,5.24,484.04,1.57,14.44,5.63,136.08,0,11.17,9.29,0,10.73,46.03,0,3.9,0,0,4.23,1.91,17.07,77.86,1.1,0
120,0,0,0,0,31.69,0,0,63.57,11.49,6.71,47.16,9.47,0,0,6.26,4.81,4.78,4.78,4.91,0,418.09,0,17.21,17.74,208.43,1.37,18.22,1.12,0,10.58,40.18,0,3.91,0,0,5.94,0,18.04,53.29,3.15,0
