stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.88,0,0,0,0,0,0,0,0
  7-9,19.03,0,0,0,0,15.56,0,0,0,0,0,10.77,0,0,0,0,0,0,0,0,0,0,0,75.62,91.07,0,0,27,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.02,0,0,42.21,0,0,0,0,0,6.15,0,0,0,0,0,0,0,0,0,0,0,103.85,126.49,0,0,49.89,0,0,3.49,0,0,0,0,0,0,0
 14-21,0,0,0,3.43,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,2.31,101.41,125.04,4.12,0,0,0,0,0,0.82,42.76,0,0,0,0,3.62
 24-34,0,0,0,8.91,1,13.46,0,0,0,1.95,0,0,3.87,0.6,0,0,3.43,0,14.54,7.85,0,0,2.03,582.97,14.42,7.91,0.96,0,0,1.53,0,0,118.78,0,0,1.61,0,1.34
 36-46,0,0,0,3.56,0,101.48,0,0,0,9.95,0,0,0,0,0,5.3,1.98,0,20.32,11.01,0,0,3.14,1304.06,4.92,7.38,0,0,0,0,0,0,219.2,0,0,10.54,0,35.07
 48-58,0.39,0,0,11.5,5.1,267.45,0,4.25,0.81,18.22,0,0,0,7.9,0,2.3,1.46,0,9.85,14.94,0.63,0,0.47,1452.35,0,6.1,1.05,0,0,9.31,0,0,247.15,0,0,1.05,0,21.83
 60-70,0,0.86,0,9.79,4.26,462.96,1.66,1.25,10.03,47.81,0,0,0,4.28,0,1.58,3.15,0,21.22,37.87,0.65,0,9.95,1601.95,0,4.67,1.01,0,0,5.6,0,0,188.67,0,0,0.92,0,11.04
 72-82,0,0.87,0,5.24,3.1,307.33,0,0,0,30.78,0,0,0,4.82,0,4.33,2.96,6.63,5.68,16.16,0,0.56,1.57,961.22,0,3.43,2.41,0,0,10.89,0,0,122.19,0,0,0,0,10.38
 84-94,0,1.29,0,6.5,0.79,206.71,2.96,4.49,0,28.54,4.23,0,0,14.55,0,2.75,7.47,0,14.14,35.59,0,2.99,0.7,833.12,0,4.12,0.62,0,0,0,1.84,0,94.52,0,0,0,4.27,12.02
 96-106,0,1.19,0,11.68,19.1,162.45,0,0.59,0,40.59,1.61,0,0.78,8.02,0,1.66,0,0,7.51,24.27,0,2.04,1.24,632.3,0,4.97,7,0,0,13.71,0.87,0,54.47,0,0,4.57,0.61,15.11
108-118,0,1,0,12.22,1.68,145.7,0,1.85,0,34.97,1.38,0,0,9.74,3.59,2.04,1.83,0,28.14,29.4,1.09,0.75,0,742.96,0,5.98,1.39,0,2.11,2.14,0,0,23.17,2.54,0,0,0,19.02
120,0,0,0,17.13,4.78,147.28,0,2.1,0,47.8,6.77,0,0,12.78,2.37,0,2.53,5.29,1.33,18.06,0,0,0,964.02,2.28,1.48,0,0,0,7.62,1.13,0,28.55,2.24,2.93,0,0,6.45
