stage,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,mesenchyme,muscle,neural,otic,paraxial.mesoderm,somites,spinal.cord
  5-6,19.68,0,0,0,0,10.93,0,0,0,0,11.61,0,0
  7-9,0,3.54,0,0,0,0,0,0,16.21,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,23.7,0,5.44,0,0
 14-21,0,0,1.67,0,0,0,0,0,11.33,0,0,0.89,4.09
 24-34,0,0,2.61,0,0,0,2.06,0.61,7.14,0,0,0,0.83
 36-46,0,0,0.65,1.54,0,0,0,0,6.37,0,0,0,4.32
 48-58,0,0,0,1.24,0.68,0,0,0,3.03,0,0,0,1.88
 60-70,0,0,0,0,0,0,0.59,0,0,0,0,0,0
 72-82,0,0,0,3.38,0.49,0,0,0,1.83,0,0,0,0
 84-94,0,0,0,0.57,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.02,0,0,0,0,0.6,0,0,0
108-118,0,0,0,1.14,0,0,3.02,0,3.99,0,0,0,0
120,0,0,0,0,0,0,2.22,0,0,0,0,0,0
