stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,10.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.44,0,0,0,6.09,0,0,0,0,0,0,0,0,0
 14-21,0,1.41,0,21.86,7.57,0,7.61,0,0,2.7,3.58,0,0,0,0,0,0,0,7.93,0,0,0.9,81.84,0,0,0.88,1.72,1.09,10.6,1.07,12.21,25.23,0,0,0,0
 24-34,0,0.65,1.12,6.17,0,0,5.29,0,0,1.87,0,0,0,0,0,0,0,0,5.74,0,0,1.42,67.27,0.75,0,1.56,0,0,0,0,1.23,17.22,0,0,3.5,0
 36-46,0,0,0,3.64,0,0,5.01,3.09,0,13.78,0,0,0,0,0,0,0,0,7.55,0,0,2.02,43.34,0.63,0,0,0,0.96,0,0,0,13.3,0,0,1.78,0
 48-58,0,0,0,0.42,0,0,23.79,1.82,0.45,6.79,0.49,0,1.24,0,0,0.48,0,0,16.94,0.5,0,1.97,52.94,0.57,0,2.73,0,2.3,0,0,0,14.05,0,0,2.81,0
 60-70,0,0,0,0,0,0,17.75,0,0,2.65,1.05,0,0,0,0,0,0,1.24,5.79,0,0,0.6,9.27,0,0,1.49,0,0,0,0,0,4.07,0,0,0,0
 72-82,0,0,0,0.67,0,0,8.68,0,0,3,0,0.51,0,0,0,0,0,0,15.58,0,0,2.59,14.44,0,1.07,0,0,0,0,0,0,0.61,0,1.14,0,0
 84-94,0,0,0,0.77,0,0.87,2.99,0,0,0,1.05,0,1.71,0,0.55,0,0,1.13,4.71,0,0,0.7,12.42,0,0,4.72,0,3.72,0,0,0,0,1.85,0,2.52,0
 96-106,0,0,0,2.35,0,0,11.39,0,0,1.92,0.66,0,0,0.59,0,0.86,0,0,8.12,0,0.93,3.3,14.45,0,0,4.26,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.6,0,0,0.45,0.5,0.75,5.2,0,0,1.07,0,0,0,0,0,6.82,0,0,0,8.84,0,0,5.28,0,0,0,0,0,0,0,0,1.33,0.5
120,0,0,0,6.63,1.84,0,3.75,0,0,0,0,0,2.71,0,0,0,1.28,0,2.84,0,0,5.32,8.45,0,0,3.73,0,2.98,0,0,0,0,0,0,0,0
