stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,hatching.gland,iridophores,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  3-4,0,11.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.55,26.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.13,0,5.12,0,0,0,0,0,0,0,0,18.75,0,29.53,0,0,0,0
 10-12,0,0,0,0,0,0,0,7.5,0,0,0,25.26,0,6.24,0,0,0,0
 14-21,0,0,0,0.82,0.82,0,0,0,0,0,0,8.71,0,0,0,0.82,0,0
 24-34,0,0,0.59,0,0,0,0,0,0,0.62,0.72,22.41,0,0,1.05,6.6,0,0
 36-46,0,0,0,2.6,3.42,0,1.18,0,0,5.27,0,28.58,0,0,0,12.98,0,0
 48-58,0,0,0,0,17.82,0,2.6,0,0,2.67,0,35.93,0.45,0,0,8.4,3.32,0
 60-70,0,0,0,0,34.08,0,9.57,0,0,1.09,0,37.6,0,0,2.62,2.16,0,0
 72-82,0,0,0,0,11.98,1.28,0.74,0,0,4.15,4.83,29.42,0,0,0,3.3,0,0
 84-94,0,0,0,0,7.83,0,7.4,0,0,1.05,0,16.54,0,0,0.69,0,1.11,0
 96-106,0,0,0,0,4.31,0,1.22,0,1.5,0,0,9.19,0,0,0,13.35,0,0.63
108-118,0,0,0,0.48,12.12,0,3.33,0,0,0.91,0,10.54,0,0,0,2.18,0,0
120,0,0,0,0,4.98,0,0,0,0,1.82,0,23.18,0,0,0,0,0,0
