stage,erythrocytes,eye,glial,liver,mesenchyme,mural.cell,neural,notochord,olfactory,pronephros,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,3.83,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.01,13.83,0,0,0,0
 14-21,0.8,0,0,0,0,0,3.36,0,0,0,0.81,0
 24-34,0,0,0,3.4,0,0,5.89,0,0,0,0.69,4.7
 36-46,0,1.5,0,0,0.82,0,7.39,0,0,0.79,1.56,2.3
 48-58,0,0.54,0.53,0,0,0,3.49,0,25.03,0,0,0
 60-70,0,2.61,0,0,1.8,0,0,0,2.87,0,0,0
 72-82,0,0,0,1.79,0.69,0.88,1.93,0,0,0,1.21,0
 84-94,0,0.92,0,0,3.14,0,5.01,0,25.07,0,2.86,1.24
 96-106,0,0,3.43,0,0,0,14.46,0,15.55,1.05,0,6.68
108-118,0,1.2,0,0,0,0,13.18,0,21.57,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,13.5
