stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,xanthophores
  3-4,21.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66,0,0,0,0,0,0
 10-12,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
 14-21,0,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,97.02,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0
 36-46,0,0,76.65,0,0,0.76,0,0,0,0,0,0,0,3.48,0,0,0,0,0,0,0
 48-58,0,0,93.22,0,0,0,0,0,0,0,0,0,0,11.09,0,0,0,0,0.59,0,0
 60-70,0,0,600.78,0,0,1.03,0,2.01,0,0,5.57,0,0,42.37,0,0,1,0,0.61,0,0
 72-82,0,0,659.73,1.11,0,0.84,0,0,0,7.34,3.04,0.61,0,34.94,0,0,0,0,0,0,0
 84-94,0,3.67,957.4,0,0,0.65,0,0,2.31,0,5.18,0,0,17.18,0,0,0,0,0.95,0.62,0
 96-106,0,4.27,721.22,2.15,0,0.95,1.73,0,0,0,2.28,0,0,11.85,0,0,6.6,0,0,5.51,0.8
108-118,0,0,691.22,0,0,8.92,0,0,0,4.91,14.31,0,0,14.55,0,0,2.01,0,0,0,0
120,0,4.45,1495.88,0,4.88,0,0,0,0,0,4.86,0,1.66,22.81,0,4.22,0,1.02,0,0,0
