stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.63,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0
 14-21,0,0,18.96,0,0,0,0,0,0,0,0,0,0,2.32,0.95,2.68,0,3.49,0,0.84,0,2.56,0,0
 24-34,0,0,3.68,0,0,0,0,0,0,0,0,0,5.94,4.39,0.91,1.25,0,3,0,0,2.12,0,0,0
 36-46,0,0,0,0,0,0.66,0,0,0,0,0,0,0,9.97,0,0,5.03,1.28,0,0,0.67,0,1.9,0
 48-58,0,0,0,0,0,3.25,0,0,0.94,0.51,0.5,0,12.46,4,0,2.54,0.5,0.53,0,0,0,0,5.61,0
 60-70,0,0,0,0,0,0,0,0,0,8.19,0,0,0,4.2,0.85,0.77,10.1,1.42,0,0,2.06,0,0,0
 72-82,3.47,0,0,0,0,1.5,0,0,0,52.52,0,2.49,5.86,8.67,0,1.14,11.06,0,0.59,0,0.66,1.76,0,0
 84-94,0,0,0,0,0,3.91,0,1.92,0,108.5,0,0,4.21,5,1.51,0,3.57,4.09,0,0,0,0,0,1.17
 96-106,0.63,1.03,0,1.72,0,0,0,0,2.94,112.77,1.64,0,4.88,6.92,0,0.86,10.16,0.58,0,0,0.72,0,0,0
108-118,0,0,0,0,0,13.89,0,0,0.74,120.45,0.8,0,2.43,0.82,0,0.63,4.04,0.5,0,2.21,1.86,0.64,0,0
120,0,1.28,0,0,1.03,0,1.03,0,0,67.45,1.63,0,6.42,6.58,0,0,0,0,5.27,0,0,0,0,0
