stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1471.75,28586.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895.65,0,0,0,0,0,0,0,0,0,0,0
  5-6,898.5,10982.97,0,0,0,0,0,0,0,0,0,0,16.53,0,0,0,0,0,0,0,0,0,0,0,482.61,32.2,0,0,78.61,0,289.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,328.42,494.49,0,760.75,0,32.85,1725.99,0,0,0,0,0,432.27,0,0,0,0,0,0,0,0,0,0,0,12796.42,589.85,0,0,4769.38,0,34.52,229.2,0,9.82,0,0,0,0,0,0,0,0
 10-12,9.78,195.96,0,513.66,0,77.36,775.39,0,0,0,0,0,32.06,0,0,0,0,0,0,0,0,0,0,0,7462.71,269.71,0,0,3195.52,0,15.24,178.77,4.56,283.05,0,27.02,16.38,0,0,0,0,0
 14-21,0,0,1.23,7.89,73.23,36.27,39.19,0,1.76,0,66.22,10.02,0,1.46,0,12.75,0,0,0,0,87.34,0.9,0,61.8,574.99,10.9,1.37,14.25,35.61,0,110.33,21.3,153.57,47.66,7.75,178.24,393.84,0,0,8.1,0,0
 24-34,0,0,1.55,9.6,17.58,0,115.23,0,11.67,3.47,54.88,4.06,0,9.6,0,3.9,0.7,1.66,0,0.69,184.22,0,0.69,56.77,552.3,2.05,5.19,7.69,0,0,178.01,3.87,0,11.5,1.63,21.72,207.52,0,0,23.58,0,1.41
 36-46,0,0,0,0,21.72,0,146.92,0,3.86,4.75,36.87,0,1.09,3.75,0,2.8,0,1.82,0,0.6,167.45,8.88,0.57,34.87,467.75,0.68,7.29,17.19,0,0,283.61,0.73,0,3.27,0.64,0.84,129.84,0,0,16.58,0,0.72
 48-58,0,0,0,0,6.07,4.21,222,0,0,6.13,48.2,0,0,4.39,1.53,1.67,0,0,1.29,0,190.83,1.57,7.31,23.17,207.63,1.32,13.43,4.37,0,0,119.89,0,0,12.37,0,0,72.85,0,0.85,19.55,0,0
 60-70,0,0,0,0,13.79,0,270.83,0,8.47,8.69,52.14,2.29,0,8.09,0,0.58,0,3.09,0,0,306.24,6.46,10.54,15.36,131.02,0,5.77,5.44,0,3.88,130.66,0,0,0.83,0,0,36.6,0,5.1,11.65,0.61,6.2
 72-82,0,0,0,0,11.96,1.41,236.07,0,0,25.44,62.95,0,0,11.67,0,5.29,0,2.02,0,0,406.67,2.03,11.74,15.88,157.71,2.3,19.71,9.68,0,1.65,56.62,0,0,1.59,0,0,12.37,2.21,5.99,17.62,2.89,7.13
 84-94,0,0,1.29,0,29.55,1.42,245.15,0,0.8,5.3,36.84,0.94,0,9.95,3.33,4.22,1.82,6.08,0,0,398.55,4.04,25.78,23.34,99.56,0.79,25.84,23,0,0,180.48,0,0,0.67,0,0,21.43,0.66,1.97,30.74,11.1,0
 96-106,0,0,0,0,33.58,1.74,384.75,0.89,1.66,1.47,36.07,2.48,0,7.03,1.9,6.48,0,9.6,0.59,0,301.06,9.29,3.55,5.81,82.17,0.75,13.85,22.15,0,0,150.08,0,0,0,0,0,18.96,4.57,8.54,17.68,2.93,0
108-118,0,0,0,0.74,44.28,0,476.03,0.58,4.4,6.12,79.07,3.87,0,6.35,1.31,12.67,3.03,8.71,0,0.54,225.13,5.05,6.48,16.19,108.4,0.85,6.44,19.35,0,4.68,105.62,0,0,1.76,1.18,0,5.01,1.47,7.38,19.06,7.16,0
120,0,0,0,0,70.25,4.42,385.18,5.92,11.07,6.83,118,0,0,10.37,0,1.48,4.51,10.05,0,0,224.43,1.11,24.05,8.63,195.06,1.1,20.73,20.79,0,2.54,93.09,0,0,0,0,0,5.76,1.99,0,9.22,1.96,0
