stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,326.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.48,0,0,0,0,0,0,0,0
  5-6,17.46,148.81,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.72,37.97,0,0,0,0,0,0,0,0
  7-9,9.63,8.78,0,4.77,0,0,15.62,0,0,0,0,11,0,0,0,0,0,0,0,0,131.61,18.63,0,0,62.58,9.5,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,18.48,0,0,0,0,0,0,0,0,0,0,0,0,0,263.83,17.2,0,0,23.96,3.3,16.55,0,17.24,0,8.6,0,0,0
 14-21,0,0,0,0.98,3.69,3.62,0,0,0,190.19,0,0,0,0,0,0,5.51,0,0,0.99,97.01,0.9,34.05,7.01,3.34,0,0,4.75,110.49,1.81,430.17,0,0,0
 24-34,0,0,0,0,1.37,0,8.28,0.62,0,175.92,0,0,0,0,0.75,0,3.42,0,0,0,66.88,2.19,177.19,0.65,0,2.42,0,2.17,128.66,4.31,308.73,2.34,0,1.18
 36-46,0,0,0,0,1.83,0,6.5,0,0,111.9,0,0,1.51,0,0,0,0.6,0,0,0.7,98.13,0,243.72,0.7,0,6.14,0,0,101.41,0.7,251.71,0,0,0
 48-58,0,0,0,0,0,0,3.21,0,0,108.17,0,0,0.59,0,0,18.96,1.68,0,0.71,0,83.61,0,174.97,0,0,0,0,0,24.4,0,174.58,0,0,0
 60-70,0,0,0,0,0,0,12.75,0,0,111.6,0,0,0,0,0,0,0.84,0,0,0,13.61,0,184.88,0,0,0,0,0,55.44,0,104.66,0,0,0.65
 72-82,0,0,0.56,0,0,0,20.33,0,0,105.88,0,0,0,0,0,0,5.49,0,0,0,20.91,0,293.67,1.74,0,0,0,0,13.62,0,59.37,0,1.87,6.97
 84-94,0,0,0,5.07,1.39,0,5.88,0,0,60.84,1.57,0,0,0,0,0,4.05,0,0.85,0,18.17,0,246.87,0.6,0,1.57,0,0,28.77,0,84.48,0,0,0
 96-106,0,0,0,7.1,0.63,0,6.91,0,0,69.62,0.69,0,0,0.96,0.65,0,3,0,0,0,8.46,0,454.02,0,0,10.96,0,0,10.73,0,45.21,0,0,0
108-118,0,0,0,4.65,0.44,2.2,0.8,0,0.53,72.92,0,0,0,0.81,0,0.51,3.4,0.61,0,1.58,19.9,0,345.59,0,0,1.46,0,0,13.55,0,42.57,0,0,0
120,0,0,0,3.17,0,0,1.79,1.03,0,27.9,0,0,0,0,0,0,7.12,0,0,0,18.49,0,462.64,0,0,0,0,0,54.04,0,35.49,0,0,0
