stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.9,68.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,33.67,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,0,13.43,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.52,0,0,0,6.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0,16.84,0,0,0,8.1,1.42,0,0,0,0,0,2.47,0,0.82,0.91,0,0,0,0
 24-34,0,0,0,0.86,0.68,0.91,0,0.7,1.31,0,0,0,0,0,0,0,0,1.21,0,41.58,0,0,0,0,0,5.02,0,0,0.65,10.1,0,0,0,0
 36-46,0,0,0,0,0,8.64,3.75,3.93,1.41,0,0,0,0,0,0,0,0,2.88,0,79.9,0,0,0,16.41,0,0.65,0,4.97,0,12.86,0,1.23,0,0
 48-58,0,0,0,2.03,0,16.48,0,0,3.32,0,0,0,0,0,0,0,0.41,3.21,0.46,83.49,0,0,0,0,0,3.13,0,0,0,16.65,0,0.41,0,0
 60-70,0,0,0,0,0.64,15.47,0,5.27,6.89,0,0,0,0,0,0,0,0,5.57,0,136.87,6.76,0,2.07,0,0.84,10.8,0,0,0,28.57,2.18,0,0,0
 72-82,0,0,0,0.5,0,24.82,0,0,10.45,0,0,0.56,0,0,0.94,0,0,22.21,0,99.03,0,0,0.57,0,0,1.21,0,0,0,4.92,0,5.97,0,0
 84-94,0,0,0,2.07,0,10.06,0,0,0,0,0,0,0,0,0.66,0,0,5.69,0.68,31.75,0,0,0,0,0,0.91,0,0,0,0,0,3.54,0.75,0
 96-106,0,0,0,3.77,0,22.78,0,0,4,3.68,0,4.05,0,0,0,0,0,1.87,0,43.42,0,1.73,0,0,0,1.21,0,0,0,0,0.72,2.32,0.98,0
108-118,0,0,0,0,0,23.49,0,0,1.62,0,0,0,0,3.27,0,0,0,7.85,0,43.22,2.51,0,0,0,0,2.36,0,0,0,1.77,0,0,0,1.58
120,0,0,0,0,1.62,12.87,0,0,15.85,1.94,0,0,2.56,0,0,0,0,12.22,0,100.3,1.08,4.78,5.82,0,0,5.61,0,0,0,0,0,0,0,0
