stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.02,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.66,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.93,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.17,2.07,0,0,0.89,0,0,0,0,0,0,0,0,2.06,134.61,0,0,0,0,0,0,1.55,0,0,5.45,0,0
 24-34,0,0,1.76,0,0,3.25,0,0,4.18,0,0,4.64,0,0,0,0,0.72,0,0,2.06,21.51,273.42,9.54,0,0,0,0,0.75,4.75,0,0,18.44,0,0
 36-46,0,0,0.62,0,0,0,0,0,4.32,0,0,5.68,0,0,0,0,9.2,0,0,0,20.79,362.36,9.38,0,0,0,0,0,7.1,0,0,3.87,0,0
 48-58,0,0,0,0,0,9.68,0.67,0.44,1.11,0,0,13.43,0,0,0,0,2.77,0,0.52,0,28.14,177.1,5.72,0,0,1.7,0,0,2.43,0,1.85,33.22,0,0
 60-70,0,0,0,0,0,7.98,0,0,10.31,0,1.71,9.54,0.73,0,0,0,111.82,0,0.69,0,37.09,223.57,1.08,0.62,0,0,0,0,1.65,0,4.49,66.33,0,0
 72-82,0,0,0.65,0,0,35.88,0,0,25.11,1.1,0,31.55,3.04,0,0,0,407.78,0,0,0,24.09,51.49,13.76,0.5,0,0,0,0,2.22,0,21.87,203.87,3.08,6.47
 84-94,0,2.22,5.23,6.62,0,10.27,0,0,11.01,0,0,13.59,1.29,0,0,0,416.23,0,0,0,32.4,83.63,9.86,0.88,0,0.59,0.94,0,4.09,0,39.53,230.73,0,0
 96-106,0,0.81,16.07,0,0,16.29,6.98,0,15.39,0,0,32.05,6.08,1.48,2.7,3.85,555.36,1.95,14.44,5.88,28.65,108.56,14.64,0.71,1.03,1.32,0.6,0,5.4,1.26,134.07,278.51,24.93,0
108-118,0,0,9.24,0.85,1,9.86,0,1.2,11.62,1.85,0,20.99,4.4,0,0,6.63,431.48,0,8.37,3.76,18.04,179.82,2.4,0,0,3.29,0.7,0,4.26,0,116.54,297.54,15.25,0
120,0,0,6.6,0,0,30.35,0,12.32,11.95,0,0,50.53,0,0,0,1.42,528.57,0,10.39,0,18.44,106.34,7.74,7.49,0,1.13,0,0,0,0,190.89,351.18,60.16,0
