stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.5,84.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.35,9.28,0,19.09,0,0,21.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.22,0,0,0,32.4,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.09,0,8.61,0,4.67,19.87,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,441.69,0,0,0,73.28,0,0,9.44,0,9.14,0,0,4.33,0,0,0,0,0
 14-21,0,0,4.41,8.22,137.41,8.55,5.11,0.82,0,3.91,1.97,3.77,0,0,25.22,0,0,6.65,2.87,33.25,1.09,0,13.16,407.74,4.76,3.41,6.13,6.21,0,2.57,1.53,8.31,345.88,0,14.76,213.38,0,0,0,0,0
 24-34,0,0,3.88,3.43,10.8,0,11.51,0,0,35.29,0,0,2.39,0,29.96,0,0.7,0,1.67,7.15,0.88,0,1.74,368.92,0,9.79,1.53,0,0,1.56,0,0,6.64,0.95,1.27,110.53,0,0,0.78,0,2.17
 36-46,0,0,0,0,8.41,0,64.47,0,0,64.93,0,0,0,0,13.33,1.76,3.34,0,0,9.57,2.81,0,1.5,853.2,0,24.02,1.54,0,0,3.62,0,0,1.03,0,0,136.39,0,0,0,0,0
 48-58,0,0,0.39,0,3.16,0,356.05,2.95,0,147.64,0,0,0,0,5.61,0,1.69,0,0.58,8.91,8.41,0,0.91,1598.64,0.39,13.33,2.7,0,0,7.16,0,0,0.37,0,0,209.31,0,0,0,0,0
 60-70,0,0,11.27,0,18.27,0,677.47,2.81,1.45,150.82,1.82,0,0,0,0.58,0,0,0,0,55.25,10.95,0.81,0.9,1663.98,4.78,4.6,7.51,0,0,11.53,0,0,0,1.71,0,186.44,0,0,0.75,0.85,0
 72-82,0,0,15.21,0,15.3,16.72,633.84,0,2.77,168.79,22.64,0,0,1.03,2.15,3.22,0.62,0,0,84.59,22.23,0,0,1757.34,0,14.29,5.67,0,0,5.05,0,0,0,0,0,140.99,2.33,0,1.87,0,0
 84-94,0,0,12.62,0,16.76,0,534.41,2.49,10.43,100.67,16.4,0,0,1.33,6.18,10.1,0.65,0,0,62.51,22.21,0.72,0,808,2.85,14.83,12.12,0,0,8.37,0,0,0.59,0,0,66.92,5.65,0.84,0.59,5.09,0
 96-106,0,0,7.75,0,15.1,3.25,415.91,1.46,2.77,113.51,25.35,0,0.82,1.21,4.04,0.95,3.59,14.83,0,28.51,18.98,0,0,728.24,2.6,6.61,10.69,0,0.83,29.38,0,0,0,0,0,56.3,4,0,8.64,0.63,0
108-118,0,0,1.5,0,22.34,1.69,334.76,1.03,4.07,112.99,28.2,0,0,4.55,8.38,1.36,4.26,3.36,0,24.22,16.26,3.45,0.63,911.13,0,10.9,5.05,0,0,10.69,0,0,1.39,0,0,47.8,2.55,0,0,0,4.21
120,0,0,0,0,13.53,0,240.55,2.21,0,68.86,26.27,0,4.47,3.06,1.77,0,6.26,6.44,0,32.48,3.25,0,0,786.15,3.25,0,2.44,0,0,9.22,0,0,0,0,0,62.31,2.83,0,0,0,0
