stage,blastomeres,endoderm,epidermis,eye,glial,heart,immune,melanocytes,mesenchyme,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord
  5-6,55.49,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.06,0,0,0,0,0,0,0,49.91,31.85,0,0,0
 10-12,8.25,7.61,0,12.16,0,0,0,0,0,147.28,79.16,7.72,3.29,0
 14-21,0,0,0,0,1.25,0,0,0,0,0,0,0,0.83,0
 24-34,0,0,0,0,0,0,0,0,0,7.26,0,0,0.65,0
 36-46,0,0,1.27,0.85,0,0.93,0,0,0,1.82,0,0,0,0
 48-58,0,0,0,1.01,0,0,0,0,0,10.78,0,0,0,0.59
 60-70,0,0,0,1.38,0,0,0,3.27,0.93,12.94,0,0,1.06,0
 72-82,0,0,0,1.08,0,0,0,0,1.65,27.97,0,0,0,3.27
 84-94,0,0,0,1.5,0,0,0,6.14,2.02,7.66,0,0,0,0
 96-106,0,0,0,0,0,0,0.83,0,0,9.31,0,0,0,0
108-118,0,0,0,0,0,0,0,0,1.92,9.37,0,0,0,0
120,0,0,0,0,0,0,0,0,8.92,13.62,0,0,0,0
