stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.54,44.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.89,79.22,0,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,0,0,0,0,0,0,0,0,0,0
  7-9,19.54,0,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,70.9,0,0,33.01,0,11.12,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.77,0,0,0,9.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472.98,0,0,77.14,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,40.74,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,2.5,0,0,2.23,21.15,3.25,2.1,0,0,77.31,0.81,0,1.03,1.86,1.01,0,0,0,0,0
 24-34,0,0,0,0,40.97,0,0,5.41,0,0,0.83,0,0,0,0,4.22,0,0,1.39,0,0.62,5.69,11.94,0,0.67,55.99,12.06,0,0,0,327.15,0,0,1.15,1.34,8.16,0,0,0,0,0
 36-46,0,0,0,0,26.22,0,0,4.44,0,7.56,0,4.58,0,0,1.7,4.42,0,0,0,0,9.25,1.62,8.77,0,0.63,51.65,12.94,0.65,0,0,432.57,0,0,0,0,10.08,0,0,0.61,0,0
 48-58,0,0,0,0,21.18,0.41,0,21.27,0,3.9,0,6.37,0,0,1.54,14.05,9.66,0.45,0,0,0.59,10.06,4.35,0,0.42,67.38,0,0,0,0,316.08,0,0,0,0,9.27,0,0,4.33,0,6.44
 60-70,0,0,0,0,38.75,0,0,51.82,0,8.85,0,4.89,1.86,0,0,19.02,1.32,2.01,0,0,0,10.45,0,1.82,0,81.15,3.96,0,0,1.08,239.64,0,0,0,0,9.66,0,0,0,0,6.98
 72-82,0,0,0,0,25.66,0,0,148.28,0,15.31,1.51,11.74,2.05,0,0,12.06,4.11,3.89,0,1.76,0,15.9,2.37,1.68,3.75,121.11,7.4,0,0,0,122.35,0,0.64,0,0,6.76,3.3,0,4.55,0,0
 84-94,0,0,0,0,49.83,0,0,157.18,0,4.38,0,16.92,6,0,0,23.15,3.08,2.04,2.42,0,0,13.19,5.07,0,0,187.75,5.68,1.51,0,0,406.3,0,0,1.19,0,0,3.22,2.79,0,1.97,0
 96-106,0,0,0,0,39.69,24.35,0,191.41,3.09,3.47,0,6.15,4.55,0,0,29.07,2.22,3.3,6.45,1.19,0,14.6,6.87,0,1.63,242.1,0,0,0,0,277.68,0,0,0,0,0,6.4,0,3.11,0,0
108-118,0,0,0.91,0,40.81,0,0.99,203.66,0,9.01,0,9.65,10.44,0,0,35.12,11.06,0,7.59,0,0,12.22,6.68,0,0,198.38,2.07,1.58,0,0,258.09,0,1.56,1.89,0,0,8.42,0,0,0,0
120,0,0,0,0,54.71,0,0,299.12,0,5.64,19.12,16.45,11.38,0,1.85,62.35,7.83,0,0,0,1.55,64.32,0,0,4.24,305.15,9.35,0,0,0,204.54,0,0,0,0,0,21.85,0,7.83,0,0
