stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,55.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,37.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.65,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,190.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0
 10-12,0,0,0,33.47,0,0,0,0,0,0,0,0,172.5,0,0,0,0,0,0,0,0,0,0,18.25,4.57,0,0,7.48,0,0,0,0,0,0
 14-21,0,0,0,0,107.82,6.15,0,0,0,0,0,0,0,3.1,0,4.82,0,0,0,0,8.54,0,0,0,1.29,10.47,0,2.09,1.11,8.66,0,0,10.18,0
 24-34,0,0,0,0,70.7,1.53,0,2.89,3.86,0,0,0.87,0.93,6.02,0,33.71,0,0,0,7.33,80.09,0,0.77,18.08,0,0,0,0,0.98,7.34,0,0,37.67,0
 36-46,0,0,0,0,67.11,0.6,0,3.54,10.7,0,2.43,0,0.71,10.7,0,40.99,0,0,0,1.03,122.86,1.72,0,26.16,0,1.77,0,0,3.63,14.06,0,0,15.8,0
 48-58,0,0,0,0,17.76,0,0,4.22,26.75,0,0,1.35,0,14.79,0.73,14.91,0,0,0,6.6,120.4,0.58,0,28.59,0,0,0,0,0,9.4,0,0,9.47,0
 60-70,0,0,0,0,18.62,0,0,5.72,47.08,0,0,0,0,10.61,12.67,30.73,0,0,0,2.35,106.96,0,0,11.29,0,0,0.86,0,0,3.96,0,0,24.91,0.82
 72-82,0,0,0.88,0,20.15,0,0,5.56,29.99,0,0.93,5.85,0,24.8,70.87,13.68,0,3.06,0.5,5.33,261.52,3.89,0,7.18,0,1.01,0,0,0,3.06,0,1.61,11.82,8.33
 84-94,0.62,0,0.84,0,86.48,0,0,3.5,42.09,0,0,6.67,0,19.13,77.05,7.41,0,0,9.17,10.4,261.35,2.29,0.95,23.23,0,0,0,0,2.76,0,0.86,6.87,10.49,6.61
 96-106,0,0,0,0,79.44,3.03,0.72,4.99,39.53,1.01,2.45,13.94,0,32.77,88.14,11.46,0,1.68,17.45,17.41,343.04,5.93,0,12.7,0,2.65,0,0,6.93,0,5.55,2.29,9.94,15.48
108-118,0,0,0.79,0,99.46,0,5.24,2.41,52.69,0,2.28,16.51,0,15.84,97.03,9.86,0,4.71,14.94,7.85,311.04,6.8,0,15.04,0,0.45,0,0,1.8,0,1.87,0,18.35,5.06
120,0,0,5.69,0,91.66,0,0,6.44,32.95,0,0,10.54,0,8.43,122.6,12.56,4.95,0,12.53,7.13,139.7,4.59,7.39,7.77,0,0,0,0,2.08,0,2.31,1.54,2.2,0
