stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,10.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.62,0,0,0,3.78,0,0,0,0,0,0,0,37.01,3.69,0,0,8.87,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.4,0,36.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.76,0,0,0,8.04,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0.82,0,0,0,0,2.26,0,0,0,0,0,2.49,0,1.21,10.62,0,0,4.45,2.14,0,0,3.92,0,2.95,25.22,0,0,0,0,0
 24-34,0,0,0,4.75,0,0.68,0,0,0,0,0,0,0,0,0,0,0,95.55,0,0,0.77,0,0,0.89,0,0,0,25.96,0,0,0,0,0
 36-46,0,0,0,2.15,0,8.19,0,0,0,0,0,0,0,0,8.44,0,0,241.34,0,0,0.57,0,0,2.03,0,2.42,0,24.18,0,0,0,0,0
 48-58,0,0,0,3.17,0,35.58,0.43,3.16,0,0,0.66,0,0,0,2.1,0,1.37,392.61,0,1.59,0,0,0,2.07,0,0.46,0,51.84,0,0,0.64,0,0.63
 60-70,0,0,0,3.57,0,220.54,0,8.15,0,0,0,0,0,0,25.5,0,0,617.89,0,0,0,0,0,2.75,0,0,0,58.68,0,0,0,0,0
 72-82,0,0,0,0.71,1.4,422.21,0,7.28,0.56,0,0,0.73,0,0,7.5,0.51,1.1,828.44,0,0.7,8.5,0,0,0,0,0.66,0,33.36,0,0,0,0,0
 84-94,0,0,0,4.57,10.22,309.12,0,28.75,0,0,0,0,0,1.36,18.74,0,0,609.47,0,5.61,0.61,0,0,0.61,0,0,0,14.51,0,0,1.72,0,0
 96-106,0,0,0,2.45,7.23,447.04,2.03,15.69,1.83,0,0,0,0.7,10.68,11.82,0,1.63,495.85,0,1.93,4.01,0,4.26,3,0,0,0,19.64,0,0,0.79,0,0
108-118,0,2.52,0,2.35,1.6,448.67,0,7.07,0.5,0,0,1.5,0.73,0,8.75,1.43,4.54,637.01,0,1.97,0,0,0,1.17,0,0,0,9.72,0.89,0.8,4.34,1.94,0
120,0,0,0,0,0,586.36,8.5,37.94,0,0,0,4.75,0,0,6.51,0,0,1034.42,0,4.01,0,0,0,0,0,0,0,23.73,0,0,9.86,0,0
