stage,blastomeres,endoderm,erythrocytes,eye,fin.mesenchyme,glial,liver,mesenchyme,mural.cell,neural,notochord,paraxial.mesoderm,taste,xanthophores
  5-6,42.29,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4,0,0,0,0,0,5.36,0,6.15,0,0
 10-12,0,4.98,7.16,9.93,0,0,0,0,0,19.1,5.29,0,0,0
 48-58,0,0,0,0,0,0,1.83,0,0,0.94,0,0,0,0
 60-70,0,0,0,0,0,0.76,3.44,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.07,0,1.04,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0
 96-106,0,0,0,1.5,0,0,35.71,0,0,11.88,0.85,0,1.97,0
108-118,0,0,0,1.52,0,0,29.94,2.01,0,12.02,0,0,0,0.92
120,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0
