stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,10.46,337.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.62,2334.73,0,0,0,0,0,0,0,0,0,39.31,0,0,0,0,0,0,0,373.49,0,0,0,125.55,18.37,0,0,0,0,0,0,0
  7-9,14.08,44.6,33.76,0,0,51.68,0,0,0,0,0,29.19,0,0,0,0,0,0,0,848.04,34.4,0,0,502.7,3.28,0,0,0,0,0,0,0
 10-12,0,35.73,10.06,0,4.95,45.85,0,0,0,0,0,7.37,0,0,0,0,0,0,0,2224.73,42.92,0,0,624.8,15.43,0,45.75,0,5.41,0,0,0
 14-21,0,0.93,4.01,242.72,9.18,35.73,0,0,0,5.03,1.33,2.85,2.11,0,0,2.09,17.45,0,16.79,2542.57,1.87,1.71,22.83,26.97,337.71,97.65,6.46,40.6,136.66,256.41,0,0
 24-34,0,0,0,6.54,0.62,3.52,0,0.62,0,7.49,0,7.68,0,0.97,1.52,3.11,24.41,0,2.18,638.79,0,3.55,0,0,93.16,0,0,2.19,2.69,26.25,0,2.73
 36-46,0,0,0,1.4,0,0.82,0,0,0,5.04,0,0,0,0,0,0,2.2,0,0.9,161.73,0,1.96,0,0,20.23,0,0,0,0,9.09,0,0
 48-58,1.15,0,0,3.87,0,6.02,1.97,0,0,4.49,0,0,0,0,0,0,6.42,0,0,67.26,0,1.17,0,0,6.46,0,0,0,0,6.11,0,0
 60-70,0,0,0,0,0,2.93,0,0,0,0.65,0,0,0,0,0,0,0.56,0,0,14.69,0,0,0,0,0,0,3.95,0,0,0,1.47,0
 72-82,0,0,0,0,0,11.71,0,0,0,3.44,0,0,0,0,0,0,8.06,0,0,26.62,0,0.54,0,0,1.68,0,0,0,0,6.13,1.82,0
 84-94,0,0,0,0,0,4.49,0,0,5.28,0.73,0,0,0,0,0,0,0.55,0,0,13.36,0,0,0,0,13.43,0,0,0,0,0,1.63,0
 96-106,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0.83,0,8.1,0,0,0,0,9.44,0,0,0,0,0,0,0
108-118,0,0,0,0,0,13.09,0,0,0,0,0,0,2.16,0,0,0,0,0,0,1.98,0,0,0,0,11.62,0,0,0,0,0,1.06,0
120,0,0,0,2.55,0,0,0,0,0,0,0,0,0,0,0,0,9.81,0,0,10.34,0,0,0,0,0,0,0,0,0,0,0,0
