stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,201.94,4664.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.14,0,0,0,0,0,0,0,0,0,0
  5-6,208.64,5364.89,10.71,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,243.4,0,0,0,61.44,0,26.16,0,0,0,0,0,0,0,0,0,0
  7-9,62.41,211.88,189.94,0,5.98,0,398.04,0,0,0,0,76.79,0,0,0,0,0,0,0,0,0,0,4004.66,64.22,0,0,1356.95,0,6,4.81,0,0,0,0,0,0,0,0,0
 10-12,0,68.51,89.7,0,11.64,0,352.01,0,0,0,0,15.41,0,0,0,0,0,0,0,0,0,0,2876.22,54.68,0,0,812.87,0,0,0,0,98.39,10.09,0,0,0,0,0,0
 14-21,0,0,16.4,118.3,26.43,0,108.42,0,0,28.88,4.17,0,0,0,4.55,0,0,7.99,0,95.48,0,60.04,1795.6,40.85,9.15,14.92,49.59,0,23.16,0,103.12,5.66,88.42,511.41,0,0,3.61,0,0
 24-34,0,0,1.01,12.29,5.19,0,271.05,0,0,24.16,0,0,3.07,1.37,4.58,0.7,0.78,3.35,1.77,126.38,0,49.87,1746.26,2.16,5.27,9.13,0,0,24.92,0,0,0,7.03,249.55,0,0,25.67,0,0
 36-46,0,0,0.61,17.11,2.93,0,447.5,0,0,24.65,0.95,0,0,0.71,2.43,0,0.64,1.44,0,100.01,0.86,23.96,939.69,1.36,5.43,1.57,0,0,23.23,0,0,7.33,0,142.36,0,0,12.51,0,0
 48-58,0,0,0,14.75,4.62,0,297.55,0,2.25,18.06,3.51,0,4.28,12.66,0.48,3.56,1.08,0.58,0,78.59,9.58,14.57,294.46,0.42,0.61,0,0,0,1.38,0,0,0,0,59.29,0,0,5.32,0.48,0.92
 60-70,0,0,0,14.01,10.5,0,147.17,0.6,0.64,38.74,3.09,0,0,5.29,0,5.65,3.24,2.21,0,47.34,10.58,7.76,200.1,0,0.92,0.69,0,0,10.71,0,0,0,0,7.01,0,0,5.79,0,0
 72-82,0,0,0,9.27,1.36,0,47.89,0,9.68,12.32,0,0,0.66,1.03,0.93,0,2.51,0.79,1.31,49.92,8.22,4.05,102.03,0.62,0.93,4.19,0,0,2.05,0,0,0,0,2.18,0,0.93,4.74,0,0
 84-94,0,0,0,6.41,7.31,1.17,49.3,0,0,17.03,1.25,0,0,12.93,0,0.76,0,0.96,0,45.41,0.65,5.97,87.02,0.94,0.57,1.95,0,0.57,2.43,0,0,0,0,0,0.83,0,3.77,0,0
 96-106,0,0,0,8.43,3.05,0,35.01,0,0,18.57,2.38,0,0.89,7.99,0,0,1.94,0,0,36.02,0,4.63,69.42,0,0.57,1.8,0,0,2.28,0,0,1.3,0,0,0,0,3.95,0,0
108-118,0,0,0,2.1,4.03,0,43.85,0.72,0.59,20.31,3.53,0,0,9.83,0.81,1.31,0.6,0,0,24.03,0.46,6.35,94.49,0,0.54,2.47,0,0.76,2.31,0,0,0,0,0,0,0,7.27,0,0
120,0,0,0,6.13,9.11,0,25.55,1.11,0,31.41,0,0,0,7.75,0,1.59,0,0,0,28.86,3.51,14,96.85,0,8.55,0,0,0,0,0,0,0,0,0,0,0,3.13,0,0
