stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,olfactory,paraxial.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle
  3-4,11.99,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0
 10-12,0,4.98,0,0,0,0,0,4.5,0,7.1,0,0,0,0
 14-21,0,0,0,1,0,0,0,1.6,0,0,0.87,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0
 36-46,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0
 48-58,0,0,0,0,4.66,0,0,7.77,0,0,0,0,0,0
 60-70,0,0,0,0,126.43,0,0,11.16,0,0,0,0,0,0
 72-82,0,0,0,0,234.59,6.48,0,13.4,0,0,0,1.2,3.84,0
 84-94,0,0,0,0,180.36,3.77,0,10.29,0,0,0,0,0,1.27
 96-106,0,0,0,0,197.4,0,0.97,16.74,0,0,0,0,0,1.93
108-118,0,0,7.79,0,113.97,0,0,17.07,0,0,0,0,0,0
120,0,0,0,0,45.35,13.51,0,19.32,1.15,0,0,0,0,0
