stage,eye,glial,gut,mesenchyme,neural,vasculature
 14-21,0,1.08,0,0,9.92,0
 24-34,0,0,0,0,29.62,0
 36-46,0,0,0,0,14.07,0
 48-58,0,0,0,0,13,0
 60-70,0,11.73,0,0,1.99,0
 72-82,0,0,0,0,9.98,0.74
 84-94,0,0,0.66,0,12.49,0
 96-106,0.59,0,0,0,11.07,0
108-118,0,0,0,1.56,4.45,0
