stage,eye,mesenchyme,neural,periderm,somites,vasculature
 14-21,0,0,3.34,0,1.01,0
 24-34,0.82,0,1.81,0,0,0
 36-46,0,0,1.44,0,0,0.68
 48-58,0,0,0.91,0,0,0
 60-70,1.3,0,0,0,0,0
 72-82,3.35,0,4.5,0,0,0
108-118,0,1.57,3.54,0.43,0,0
120,0,1.13,0,0,0,0
