stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0.98,21.31,3.33,1.72,0,0,0,3.52,0,0,0,0,0,0,0,0,0,12.82,0,0,27.22,93.77,3.29,0,0,13.67,0,1.74,19.84,3.07,2.53,25.64,19.3,0,2.97,0
 24-34,0,0,2,0,9.25,0,1.24,1.02,1.68,0,1.11,0,0.9,0,0,1.39,0,0,21.52,0,0,6.44,150.2,0,0,2.19,0,0,1.94,0,0,0,5.26,38.16,0,2.95,0
 36-46,0,0,1.84,0,35.56,1.66,1.76,1.17,11.52,0,0,1.38,0,0,0,0,0,0,28.36,0,2.8,5.38,214.71,4.62,3.51,0.74,0,0,2.7,0,0.7,0,0,34.59,0,4.93,0
 48-58,0,0,1.3,0,48.53,0,0.4,5.92,19.97,0,0,0,0,0,0,0.41,0,1.85,29.68,0,0,4.61,206.01,0,0,2.71,0,0,3.17,0,0.74,0,0,39.9,0,4.88,0
 60-70,0,0,1.88,0,141.55,0,2.63,7.93,31.44,1.45,0,0,0.61,0.6,1.2,0.63,0,0,62.55,2.28,8.68,3.4,193.36,0,1.51,0,0,0,6.93,0,0,0,0,27.34,0.98,2.83,0
 72-82,0,0,2.54,0,43.7,0,0,0,18.37,0,0,0,0,0,0,0,0,0,42.15,1.48,1.21,4.31,168.95,2.91,1.09,8.53,0,0,6.39,0,0,2.68,0,11.58,0,2.17,0
 84-94,1.43,0,4.44,0,46.62,0,0.78,1.55,21.35,1.55,0,1.99,1.16,0,0.76,0.8,0.6,0,37.99,0,3.91,4.19,66.73,0,3.11,2.8,0,0,20.41,0,3.27,0,0,2.34,3.46,0,2.01
 96-106,1.07,0,5.72,0,44.17,1.05,0,0,35.14,2.86,0,0,1.75,0,1.8,0,1.12,0,24.5,3.21,0,2.31,135.38,0,5.58,3.91,0,1.94,7.66,0,0.61,0,0,2.86,0,4.1,0
108-118,0,0,2.73,0,32.23,0.56,0.49,5.14,36.15,1.01,0,0,1.29,0.45,1.26,0.49,0,0,42.66,0,7.16,5.01,65.64,0,0.72,4.14,0,0,14.18,0,0,0,0,1.98,0,5.59,0
120,0,0,1.25,0,24.91,0,4.49,1.85,56.24,3.22,0,0,2.89,0,0,0,0,0,94.56,0,6.13,6.17,128.63,2.14,2.28,2.38,0,0,6.04,0,0,0,0,0,0,5.04,8.85
