stage,epidermis,eye,fin.mesenchyme,glial,gut,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,5.74,6.52,0,0,0,0
 14-21,0,0,0,0,0,17.46,0,0,0,0,0,1.62,0,0
 24-34,0,0,0,0,0,57.28,0,1.76,0.83,0,0,0,0,0
 36-46,0,0,0,0,0,1.37,0.63,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.39,16.35,0,0,0,0,0,1.21,0,0
 60-70,0,0,0,0,0.69,6.93,0,0,2.78,0,0,0,0,0
 72-82,0,4.26,0,0,1.5,36.63,1.56,0,1.49,0,0,0,0,0
 84-94,1.17,0,0,1.65,1.31,58.11,0,0,0,0,0,0,0,0
 96-106,0,0,2.43,0,2.69,90.39,6.19,0,13.12,0,4.85,0,0,0
108-118,0.49,2.52,0,0,1.23,137.03,3.06,0,5.97,0,0,0,0,0
120,0,18.55,0,0,0,167.19,3.62,0,36.37,0,0,0,18.73,4.9
