stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,37.72,554.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.46,1047.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.49,0,0,0,7.71,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.99,31.68,0,32.52,0,0,126.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687.49,13.63,0,0,249.49,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11,0,67.68,0,9.65,37.2,0,0,0,0,6.35,0,0,0,0,0,0,0,0,0,613.39,36.34,0,0,177.59,0,6.67,5.95,0,37.62,4.35,0,0,0,0,0
 14-21,0,0,0.82,0,6.87,0,2.9,0,0,3.61,0,2.24,0,0,0,0,0,6.6,0,0,0.84,70.35,4.14,0,0,2.21,0,0,0,10.78,1,5.98,26.82,0,0,0,0
 24-34,0,0,0,0,1.65,0,4.8,0,0,1.11,0,0,0.62,0,0,0,0,11.96,0,0,5.35,165.04,0.6,3.05,1.47,0,0,0,0,0,0,1.3,24.74,0,1.9,0,0
 36-46,0,0,0,0,0.62,0,49.47,0,0,6.71,0,0,0,0,0,0,0,5.9,0,0,2.29,181.18,0,2.41,11.29,0,0,13.03,0,0,0,0,34.49,0,0.71,0,0
 48-58,0,0,0,0,9.54,1.97,60.45,0,0.76,7.75,0,0,0.6,0,4.83,0.9,3.02,14.21,0,0.38,1.12,162.95,0,2.33,6.6,0,0,9.65,0,0,0,0,30.13,0,0,0,4.43
 60-70,0,0,0,0,1.44,0,52.27,0,0,27.25,0,0,0,0,0,0.63,1.78,23.82,0.63,0,0,122.99,0,2.32,0,0,0,4.16,0,0,0,0,15.84,0,1.73,0,0
 72-82,0,0,0,0,3.41,0,64.19,0.8,0,10.91,1.32,0,0,0,0,1.05,0,15.11,0,0,2.38,113.18,0,0.9,0,0,0,0.66,0,0,0,0,17.76,0.52,0.64,0,1.1
 84-94,0,0,0,0,1.86,0,46.72,1.22,0,7.32,0,0,0,0,1.31,0,0.6,18.18,2.96,0,5.71,67.43,0,0,1.06,0,2.65,1.79,0,0,0,0,4.15,0,0,0,0
 96-106,0,0,0,0,3.72,2.92,15.47,0,1.12,11.77,0,0,0,0.57,0,4.75,0,17.09,0,4.33,0,63.91,0,3.82,0.65,0,0,0,0,0,0,0,6.06,0,5.53,0.75,0.85
108-118,0,0,0,0,2.48,0,34.56,0,0.57,12.67,0,0,0,0.42,0,0,0,17.42,0,0.83,1.74,81.77,0,0.46,0,0,1.23,3.84,0,0,0,0,2.11,0,0,0,0.58
120,0,0,0,0,17.18,3.18,21.41,1.12,0,61.99,0,0,0,0,0,0,0,26.64,0,6.13,0,142.34,0,1.32,3.35,0,0,0,0,0,0,0,17.55,0,0,0,2.34
