stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57,0,0,0,0,0,0,0
 10-12,0,0,0,14.26,0,0,0,0,0,0,0,0,0,0,13.32,0,0,20.99,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,20.65,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,125.77,0.62,0,0,0,0,0.56,3.59,0,0,0,0,1.73,0,0,0,0,0
 48-58,0,0,0,1.34,0,0,0,315.83,0,0,0,2.17,0,0,13.55,0.56,0,0,0,3,0,0,0,0,0
 60-70,0,0,0,3.82,0,0,0,616.63,0,0,0,0,0,0,15.77,0,0,0,0,1.06,0,0,0,0,0
 72-82,2.89,0,0,4.32,0,1.35,0.74,776.51,0,0,0,2.96,0,0,20.46,0,0,0,0,3,0,0.89,1.22,0,1.71
 84-94,0.6,0,0,0,0,1.86,3.43,1292.36,0,0,0,0,0,0,2.05,0,0,0,0,0,0,0,0,1.01,0
 96-106,1.44,2.55,0,35.7,0.86,3.04,0.81,965.75,0,4.17,0,3.6,1.41,0,24.27,0,0,0,0.69,0,1.44,0,0,0,0
108-118,1.18,0,2.23,11.28,0,0,0,1178.48,8.79,0.49,1.01,10.27,8.15,0.99,40.01,3.93,0.57,0,4.36,0,0,0,0,0,2.81
120,0,7.49,0,1.29,0,0,0,1140.88,0,0,0,1.7,0,0,51.3,0,0,0,0,0,0,0,0,0,0
