stage,epidermis,erythrocytes,eye,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,neural,olfactory,periderm,pronephros,spinal.cord,vasculature
  7-9,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0,0
 14-21,0.99,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0
 24-34,0.69,0,0,0,0,21.52,0,2.55,0,0,0,0,1.45,0,0
 36-46,1.24,0,2.13,0,0,18.48,0,0,0,1.28,0.81,0,0,0,0.72
 48-58,2.03,0,0,0,0,48.44,0,0,0.5,2.58,0,0,0,0,0
 60-70,0,0,0,0,0,32.47,0,0,0,0.97,0,0,0,0,0
 72-82,0,0,0.88,0,0,34.22,0,0,0,3.63,0,0,0,6.1,0
 84-94,0,0,0,0.89,0,72.89,0,0,0,0,0,0.86,0,0,0
 96-106,0,2.96,0,0,0,84.09,0.94,0,0,0,0,0,0,0,0
108-118,0.76,0,4.56,0.71,0,115.78,1.74,0,0,0.85,0,0,0,0,0
120,0,0,0,0,0,73.06,0,0,0,0,3.8,1.21,0,0,0
