stage,epidermis,erythrocytes,fin.epithelia,melanocytes,mesenchyme,neural,periderm
 14-21,2.14,0.95,0,0,0,0,0.89
 24-34,0,0,0,0,0.93,0.74,1.01
 36-46,0,0,0,0,0,3.55,0
 60-70,0,0,4.81,0,0,0,0
 84-94,0,0,0,0.56,0,0,0
120,0,10.57,0,0,0,0,0
