stage,axial,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  5-6,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,0,0,0,0,0,0,0,0,0,0.86,2.89,0,0,0,0,0.86,4.48,0,0,0
 24-34,0,0,0,0.75,0,0,0.68,0,0,0,1.26,0,0,53.91,0,0,0,0,0,2.71,0,0,0
 36-46,0,0,0,1.42,0,0,0,0,0,0,2.84,0,0,104.17,0,3.1,0,1.52,0,5.24,0,1.39,0
 48-58,0,0,0,6.27,0.8,0,3.72,2.44,0,0,2.23,0,0,132.38,0,0,0,0,0,25.16,0,1.69,3.07
 60-70,0,0,0,26.74,0,1.06,9.27,0,0,0,0.83,0,0,125.86,0,1.02,0,0,1.01,20.19,0,0,0
 72-82,0,0.52,0,65.5,0,0,12.84,1.79,1.13,0,11.28,0,0,219.91,1.67,0,0,1.44,0,18.3,0,0.5,0
 84-94,0,4.66,0,51.49,0,0,4.81,0,0,0,7.82,4.46,0,170.51,0,0,0,0,0,0,2.5,1.63,2.03
 96-106,0,1.62,0,73.05,0,0,5.74,0,0,0,18.43,0,0,178.87,0,0,0,0,0,7.14,0,5.54,0
108-118,0,1.22,0,96.62,0,0,8.01,0,0,3.06,15.35,0,1.83,199.12,0,0,0.58,0,0,0.63,0,1.06,0
120,0,0,0,59.07,0,5.62,14.27,1.19,0,0,6.03,0,2.93,441.06,0,0,0,0,0,7.32,0,0,0
