stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.mesenchyme,glial,immune,ionocyte,mesenchyme,muscle,neural,periderm,somites,spinal.cord
  3-4,20.65,102.8,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,90.71,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.77,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.03,4.05,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0.94,0
 24-34,0,0,0,0,0,0,0.64,0,0,0,1.43,0,0,0,0
 36-46,0,0,1.82,0,0,0,0,0,0,0,0,2.53,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,8.4,0,0,1.37
 60-70,0,0,0,0,1.23,0,0,0,0,0,0,7.31,0,0,1.05
 72-82,0,0,0,0.69,0,0,0.93,3.37,0,0,0,4.41,0,0,0
 84-94,0,0,0,2.27,0,0,0,0,0,0,0,8.24,15.45,0,0
 96-106,0,0,0,0,0,0,0,0,0,3.73,0,3.82,6.21,0,2.31
108-118,0,0,0,5.86,0,0.44,0,0,0.82,0,0,9.52,2.11,0,0
120,0,0,0,0,0,0,0,0,0,0,0,13.66,0,0,0
