stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07,0,0,0,9.31,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.01,0,0,0,4.69,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.04,3.31,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,9.99,0,0,8.05,15.25,3.05,5.23,0,0,0,1.29,1.34,0.84,0,2.75,5.29,0,0,1.07,0,0
 24-34,0,0,0.62,0,0,2.99,0.62,2.11,0,0,0,0,1.26,0,0,0,0,58.45,0,0,30.16,68.41,0,3.23,2.13,0,0,11.46,0,0,0,0.68,12.87,0,0,0.6,0,0
 36-46,0,0,10.75,0,0,7.72,3.71,0,3.67,0,0,0,0,0.57,0.74,0,0,43.13,0,2.11,32.14,97.83,0,1.67,0,0,0,6.11,0,0,0,0,27.23,0,0,0.89,0,0
 48-58,0,0,3.96,0,0,63.18,0.52,3.7,7.63,0,0,0.5,0,21.57,0,0,1.22,73.89,2.26,3.27,21.85,219.96,0,0,1.14,0,0,0.85,0,0,0,0,29.04,0,1.15,3.32,0,0
 60-70,0,0,0.65,0.67,0,181.49,0,0,25.49,0,1.85,0,0,25.47,0.63,0,0,57.84,0,7.98,7.73,269.37,9.23,0,1.26,0,3.93,0.58,0,0,0,0,29.47,0,7.63,5.56,0,0
 72-82,0.61,0,1.38,0.64,0,197.88,12.14,0,14.19,1.01,1.52,0,0,21.66,0,0,0,65.11,0,11.82,10.17,337.03,2.3,2.28,5.54,0,0.77,7.06,0,0,0,0,30.3,0,16.24,47.01,3.37,0
 84-94,0,0,2.35,5.67,0,195.83,0,0,5.63,3.85,0,4.36,0,44.74,0,0,0,54.3,0,8.07,5.93,277.12,0,0.66,14.6,0,0,15.47,0,0.76,0,0,9.13,1.17,5.75,34.86,5.11,0
 96-106,5.6,0,3.08,17.67,0,136.38,0,2.73,7.75,3.45,0,4.05,0,54.56,4.65,0,0,70.75,0,46.75,3.24,298.85,0.64,2.37,8.8,0,18.83,22.82,0,0,0,0,1.35,4.84,9.66,51.55,4.05,3.81
108-118,0,0,8.57,1.5,1.26,192.28,2.36,0,19.39,2.91,0,1.83,0,59.21,1.17,0.6,0,41.46,1.38,22.7,6.94,221.42,0.56,0,7.14,0,22.31,8.23,0,0,1.01,0,1.17,0.89,7.45,47.93,5.61,2.03
120,0,0,10.34,0,1.09,145.92,1.21,0,3.21,3.22,0,6.41,0,44.94,0,0,7.7,33.62,0,109.72,8.26,478.6,0,8.23,24.36,0,73.52,6.28,0,1.73,0,0,11.4,1.9,1.32,76.2,33.72,0
