stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,123.56,1109.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0,0,0,0,0,0,0,0,0,0
  5-6,37.35,905.91,0,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.55,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0,0
  7-9,5.41,15.03,0,8.33,0,0,15.79,0,0,0,0,16.23,0,0,0,0,0,0,0,0,0,0,179.43,0,0,0,82.75,0,0,39.12,0,0,0,0,0,0,0,0,0
 10-12,0,5.09,0,0,0,0,12.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.95,0,0,0,110.82,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,19.79,1.91,9.75,0,0,7.61,0,0,0,0,1.04,0,0,0,14.77,0,0,7.72,189.56,7.57,0,4.9,0.9,0,20.14,0,14.25,1.89,1.38,6.22,65.99,0,0,1.98,0
 24-34,0,0,0.67,0.67,8.14,0.61,30.56,1.86,0,9.7,0,0,0,0,0,0,0,0.81,24.33,0,2.59,14.24,454.3,0,3.01,1.03,0,0,17.58,0,2.32,0,0,0,95.92,0,0,9.5,12.37
 36-46,0,0,0,0,1.98,3.15,101.63,3.68,0,32.22,0,0,0,0,0,0,0,0,41.73,0,4.45,7.16,376.48,0,1.79,3.23,0,0,6.7,0,0,0,0,0,111.69,0,0,1.31,0.65
 48-58,0,0,0,0,2.46,0,136.98,0.39,0,71.61,0,0,0.42,1.49,0,0,0,0,30.02,0,1.33,3,380.07,0,0,1.15,0,0,0.68,0,0,0,0,0,58.66,0,0,2.36,4.61
 60-70,0,0,0,0,8.38,0,136.31,0.79,0,111.46,0,0,0,1.28,0,0,2.2,0,33.12,0,0.59,5.18,472.96,2.09,1.98,0,0,0,0.69,0,0,0,0,0,64.38,0,0,5.22,6.11
 72-82,0,0,0,0,3.31,0,84.13,0,1.48,97.43,0.92,0,0,3.97,0,0,0,0,19.78,0,4.94,3.89,667.66,0,1.58,0,0,0,2.76,0,0,0,0,0,78.72,3.44,0,1.25,0
 84-94,0,0,0,0,5.19,0.57,74.42,0,0,58.83,2.63,0,0,2.44,0,0.66,0,0,27.78,0.91,1.6,1.43,469.36,0,1.75,0,0,1.84,0.88,0,0,0,0,0,67.63,0,0,5.29,0
 96-106,0,0,1.06,0,5.47,0,60.26,0,0,83.91,3.89,0,2.41,2.31,0.61,1.28,0.63,11.86,15.92,0.71,0,2.22,447.12,0,1.51,1.12,0,0,0.71,0,0,0,0,0,50.63,0,1.65,6.54,0
108-118,0,0,0,0,3.59,0.56,55.28,0,0,79.84,0,0,0,2.25,0,0,0,1.13,9.75,0,1.68,0.8,486.02,0.57,0.5,2.11,0,0,0.49,0,0,1.76,0,0,30.39,1.28,0,10.35,0
120,0,0,0,0,2.62,1.32,37.36,0,0,212.11,2.37,0,0,6.78,0,0,0,0,14.38,0,0,0,1223.15,0,0,0,0,0,1.88,0,0,0,0,0,47.5,0,0,0,0
