stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,11.32,163.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.61,0,0,0,0,0,0,0
  5-6,22.62,186.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0
  7-9,0,4.37,0,0,0,8.48,0,0,0,0,0,0,0,0,0,0,0,0,0,35.8,0,0,0,27.99,0,0,0,0,0,0,0,0,0
 10-12,0,11.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.41,0,0,0,18.04,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,0.84,0,0.96,0,3.17,0,0,0,0,0,0,0,0,0,0,4.13,29.41,1.23,0,0,0,0,0,0.9,0,0.82,15.29,0,0,0
 24-34,0,0,0,3.2,0,12.05,0,0,0,1.47,0,0,0,0,0,2.1,0,0,0,185.7,0,2.27,0,0,0,0,0,0,0,38.43,0,0,0
 36-46,0,0,0.98,0,0,21.23,0,5.85,0,0,0,0,0,0,0,2.89,0,0,0.75,434.14,0,6.14,0.71,0,0,0,0,0,0,74.69,0,0.63,0
 48-58,0,0,0,0,3.17,66.72,1.02,19.65,0,0,0,0,0,0,3.49,9.03,0,0,4.04,474.78,0,1.14,0,0,0.59,0,0,0,0,60.79,0,0,0
 60-70,0,0,0,0,0,304.54,0,5.71,0,0,0,0,0,0,0,17.76,0,0.6,0.68,806.75,0,0,0.72,0,0,2.96,0,0,0,61.55,0,1.82,0
 72-82,0,0,0,0,0,147.04,0,4.62,0,0,0,0,0,0.56,0,11.1,0.78,0.78,1.03,342.3,0,3.19,0,0,0,0,0,0,0,21.47,0,0.77,0.51
 84-94,0,0,0,0,0,69.47,0,8.48,0,0,0,0,0,0,0.72,10.81,0,0,0,233.2,0,3.12,0,0,0,0,0,0,0,15.47,0,0,0
 96-106,0,0,0,0,0,41.21,0,3.66,1.06,0,0,0.61,0,0,0,4.48,0.71,0,1.08,144.87,0,1.18,0,0,0,0,0,0,0,4.42,0.68,0,0
108-118,0,0,1.03,6.89,1.06,43.66,0,7.13,0,0,0,0,5.15,0,0,13.47,0,0,1.04,225.68,0,3.21,0,0,0,0.77,0,0.53,0,3.86,2.03,1.83,0
120,0,0,0,5.38,14.98,90.06,0,20.42,8.14,0,4.61,0,0,0,0,12.63,0,0,0,407.72,0,0,0,0,0,3.37,0,0,0,5.61,0,0,0
