stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.78,48.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,52.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.78,0,0,0,0,0,6.67,0,0,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0,31.46,0,0,0,12.76,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.28,0,0,0,3.97,0,0,0,11.02,0,0,0,0,0,0,0
 14-21,0,0,0,1.04,5.62,0,0,0,1.07,0,0,0.81,0,0,0,0,0,0,0,0,2.81,0,0,2.55,10.45,2.03,0,0,0,0,3.01,0,1.13,2.16,5.32,0,0,1.91,0,0
 24-34,0,0,2.13,0.62,7.3,0,2.11,0,0,0,0,0.92,0,0,0,0.6,0,0,1.3,0,9.6,0,0,4.05,45.58,2.46,3.06,0,0,0,10.92,0,0,0,17.63,0,0,1.4,0,0.86
 36-46,0,0,0.95,0,0,0,4.85,0,0,0,4.58,0,0,0,2.23,10.04,0.74,0,0,0,23.23,0,0,4.04,60.34,0.66,5.25,1.46,0,2.1,32.71,0,0,0,18.47,0,0,5.43,0,0
 48-58,0,0,0,0,1.33,0,12.41,0,1.1,1.19,3.53,0,0,0,0,1.82,0,0,0,1.95,22.77,0,0.92,3.81,46.56,0,5.94,0,0,0,21.18,0,0,0,15.8,0,0,13.36,0,4.47
 60-70,0,0,0,0,2.73,0,7.47,0,1.83,0,2.11,0,0,0,3.75,0.92,0,1.03,0,1.24,40.96,1.1,0.79,1.35,25.27,0,11.53,0,0,0,26.17,0,0,0,1.26,0,0,0.87,0.59,0
 72-82,0,0,0.95,0,1.87,17.88,7.51,0,0,0.7,3.12,0,0,0,8.55,0.53,3.21,0,0,0,55.7,0,0,1.29,33.7,0,9.93,0,0,0.8,28.29,0,0,0,3.39,1.42,1.7,7.65,2.06,0.82
 84-94,0,0,0,0,30.26,55.75,15.78,0,2.91,0.82,1.54,4.83,0,0,12.19,12.62,1.89,10.23,0,2.53,58.2,11.04,16.81,0,19.18,0,8.06,1,0,0,94.3,0,0.62,0,13.27,2.91,0.74,16.76,0,1.37
 96-106,0,0,0,0,12.9,19.61,2.47,0,1.22,0,8.55,5.4,0,2.97,8.39,3.93,10.79,5.8,3.85,1.26,35.73,4.24,5.23,0.99,33.45,0,9.13,0,0,0,78.94,2.06,0.6,0,4.92,1.47,2.88,29.1,0.59,9.15
108-118,0,0,1.82,0,32.77,34.13,31,0,4.75,0.87,10.39,3.87,0,1.98,23.92,8.71,13.42,2.59,0,10.28,83.15,1.96,3.59,2.18,83.96,0.86,17.08,9.92,0,0,99.3,0,4.24,0,7.34,12.15,4.81,11.78,3.34,19.3
120,0,0,0,0,28.66,47.85,38.37,1.14,1.05,0,23.75,1.24,0,0,35.95,12.11,3.91,1.76,0,0,95.96,1.1,12.16,1.74,62.39,1.96,36.79,16.39,0,41.39,96.24,0,0,0,14,12.84,0,33.56,0,0
