stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,18.39,375.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.97,0,0,0,0,0,0,0,0,0,0
  5-6,12.89,264.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,10.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.02,10.48,0,0,48.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.1,11.5,0,0,148.83,0,10.74,7.65,0,5.26,0,0,0,0,0,0
 14-21,0,0,0,2.3,4.5,0,0,1.79,0,0,0,2.02,1.33,0,0,0,0,0,0,2.72,0,0,11.04,25.27,2.21,0,0,0,2.7,28.01,0,92.25,121.33,20.75,0,0,1.26,0,0
 24-34,0,0,0,0,10.81,0.76,0,19.39,155.9,0,0,4.05,0,0,0,0,0,0,0,10.91,0,0,85.4,129.41,7.32,0,0.62,0,2.13,0,0.79,140.29,235.39,18.77,0,0,3.92,0,0
 36-46,0,0,0,0,2.2,0.71,0,19.89,314.21,0,1.3,11,0,0,0,1.19,0,0,2.72,27.96,0,0,43.76,173.05,0,4.55,0,0,8.11,0,0,182.49,15.72,49.04,0,1.04,6.44,0,0
 48-58,0,0,0,0,0.84,0,0,42.17,222.41,1.44,1.69,12.67,0,3.52,0.37,0.39,0,0,3.6,16.42,0,1.51,32.18,139.58,2.52,1.18,1.61,0,2.97,0,0,145.95,0,30.84,0,0,2.41,0,8.64
 60-70,0,0,0,0,22.52,0.57,0,54.79,205.79,0,1.17,8.64,1.35,5.96,0,0,0,0,5.25,20.06,0.73,0,28.22,76.69,0,0,2.79,0.81,4.62,0,4.67,83.2,0,5.3,0,0,0.79,0,0
 72-82,0,0,0,0,0,6.46,0,43.53,158.21,6.32,11.37,7.78,0,12.1,0,0,0,0,0,15.11,0,9.36,15.94,66.44,0,0,4.42,0,1.98,0,0,58.25,0,6.21,0,0.52,10.97,0,8.32
 84-94,0,0,0,0,14.52,9.67,0,55.73,208.71,0,1.73,22.86,3.35,2.99,0,0,0,0.68,0,22.2,0,8.43,15.19,114.59,0,1.1,0.63,0,20,0,0,90.01,0,4.23,1.46,0,6.64,0,0
 96-106,0,0,0,0,5.55,17.03,0.84,132.36,280.1,2.48,0,8.8,2.86,8.36,7.65,0,2.22,5.79,0,51.29,0,7.76,33.49,143.37,0,2.32,4.97,0,4.79,0,0,89,0,11.96,0.61,0,5.42,0.69,0
108-118,0,0,0.85,0,5.52,7.63,0,45.2,243.68,6.51,1.87,6.61,1.55,2.74,2.89,0,1.88,0.62,0,31.99,0,1.08,33.24,88.58,0.54,2.53,5.55,0,16.49,0,0,61.64,0,10.15,0,0,5.67,0,11.64
120,0,0,0,0,0,0,0,37.96,164.6,1.23,10.19,13.37,0,1.45,0,0,0,0,5.95,11.75,0,0,10.26,49.87,0,0,0,0,4.33,6.71,0,25.61,0,0,0,0,4.69,0,0
