stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,491.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0,0,0,0,0,0
  5-6,142.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,17.28,0,0,0,0,0,8.14,0,0,0,0,0,0,0,0,0,0,0,97.43,4.19,0,0,11.88,0,0,6.2,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.95,0,0,0,0,0,6.11,0,0,0,0,0,0,0,0,0,0,0,40.85,0,0,0,13.83,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,7.9,4.17,2.09,0,0,0,0,0,1.62,1.01,0,0,0,0,0,0,0,0,0.93,0,0,1.88,187.7,0,4.4,0.8,0,0,0,0,0,0,129.64,0,0,0,0,0
 24-34,0,2.09,4.24,0,0,7.59,0,0,0,8.88,0,0,0,0,0,0,0,0,0,1.64,0,0,0,1674.03,0.62,38.22,2.85,0,0,2.36,0,0,0,528.88,0,0,1.9,0,0
 36-46,0,0,1.26,0,0,83.44,0,0,0,56.43,0,0,0,3.25,0,0,0,2.78,0,6.8,0,0,1.74,4360.12,1.69,48.05,8.79,0,0,2.38,0,0,1.69,983.85,0,0,0,0,0
 48-58,0,0,15.57,2.25,0,387.76,0.37,0.39,0,132.3,0,7.64,0,0,0,0,0,0.7,0,40.6,0,0.93,7.24,4930.37,6.29,19.15,3.55,0,0,19.41,0,0,0.4,1154.92,0,0.85,0,0,19.19
 60-70,0,0.57,7.44,0,0,684.97,0,1.37,0.85,204.46,0,4.48,0,2.21,0,12.21,0,0,2.79,33.48,1.04,0,0,6342.4,0.71,21.18,0,0,0,6.14,0,0,0,1341.55,0,0,13.37,0,16.45
 72-82,0,3.33,11.77,11.46,0,759.23,0,4.8,6.78,162.19,0.61,2.2,1.28,0,1.27,0,0,3.19,0,50.1,1.35,3.99,1.28,3453.18,0,20.32,1.14,0,0,2.73,0,0,0,644.12,2.32,1.51,3.15,0.92,24.65
 84-94,0,2.31,29.94,4.41,0,567.44,0,0,1.12,116.34,1.94,1.95,0,0.59,0,0,0,1.28,0,27.23,0,1.01,1.75,2323.81,0,20.49,4.56,0,0,4.54,0,0,0,348.88,1.79,1.41,0.97,0,20.92
 96-106,0,0,10.17,19.6,0,545.41,8.17,2.25,0,140.12,2.92,0,0,9.39,0,0,0.79,16.17,0,31.12,0,0,1.26,1798.77,0,19.74,3.74,0,0,9.19,3.82,0,0.84,149.63,0,3.15,1.41,0,0
108-118,0,2.31,25.65,2.21,2.51,565.12,0,0,4.09,126.56,1.81,0,0,2.9,0,5.15,0,0.57,0,23.81,0,2.25,3.61,2263.88,0.47,18.24,0.78,0,2.27,3.76,0,0,0,104.81,0,0,2.56,0,0
120,0,0,9.8,2.24,3.69,477.82,2.44,0,0,226.38,0,0,0,7.3,0,0,0,0,0,85.24,16.62,0,1.82,3960.1,0,51.03,0,0,0,1.86,0,6.97,0,171.78,0,0,0,0,0
