stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,61.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.18,17.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.43,0,0,0,0,0,11.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.42,18.11,0,0,27.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,14.07,0,0,0,0,0,0,0,0,0,4.01,0,0,0,0,0,0,0,0,0,0,41.53,12.19,0,0,37.23,0,0,0,0,26.62,0,0,0,0,0,0,0,0
 14-21,0,0,2.08,19.47,14.52,0,3.96,0,1.76,0,16.74,0.92,0,0,0,0,0,0,0,30.95,0,0,16.49,63.01,2.01,0,0,34.47,0,2.62,0,21.95,0,14.32,56.21,213.66,0,0,0,0,0
 24-34,0,0,0,15.11,3.23,0,7.54,0,2.98,4.22,35.93,0,0,52.28,0,1.17,0,0,0,48.98,0,7.97,25.36,144.45,5.32,1.47,0,0,0.99,0.73,0,0,2.54,5.83,52.21,411.69,0,0,0,0,0
 36-46,0,0,0.93,2.67,0,0,17.05,5.49,0,6.65,40.03,0,0,24.84,0,0.88,0,0,9.93,42.66,0,3.17,10,170.63,2.99,1.2,0,0,0,3.45,0,0,0,14.3,2.35,301.1,0,0,13.95,1.55,5.39
 48-58,0,0,0,10.13,0,0,31.88,9.81,0,2.08,38.43,0,2.77,12.45,0,0.38,0,6.3,12.03,41.4,0,28.83,17.82,195.02,0.44,0,0.41,0,1.5,7.49,0,0,0.53,6.39,0,365.58,0,3.56,6.9,6.14,8.4
 60-70,0,0,0,12.88,0,0,76.04,10.28,4.29,0,37.8,0,6.92,3.51,0,0,0,0,0,26.8,2.18,32.4,8.74,175.2,0,1.15,0,0,0.71,7.41,0,0,0.58,3.89,0,166.77,0,11,7.5,26.56,0
 72-82,0,0,0,6.63,0,0,67.62,18.87,0,6.2,70.64,0,1.02,1.33,0,0.9,0,0,1.69,32.2,0.88,17.96,6,283.65,1,0,10.24,0,1.08,0,0,0,0.49,2.6,0,113.3,0,12.1,18.6,127.72,0
 84-94,0,0,1,13.88,0,0,51.41,3.45,0,2.02,31.03,0,1.23,9.36,0.69,2.08,0,0,4.15,34.92,1.21,12.07,3.96,125.23,4.66,0,2.43,0,1.7,3.68,0,0,1.07,1.3,0,105.86,0,4.68,7.21,84.51,1.75
 96-106,0,0,0,9.27,0,0.85,39.58,4.97,2.81,7.7,38.75,2.09,0,7.63,1.51,0,0,0.7,0.6,70.27,0,10.01,4.31,131.54,0.71,1.85,2.58,0,3.52,11.57,0.76,0,0.63,7.61,0,98.77,0.88,1.72,18.94,39.26,0
108-118,0,0,0,15.52,7.19,0,35.95,7.18,1.3,8.51,31.14,1.99,0,14.02,0.56,1.11,0.7,0,2,63.82,0,1.03,5.29,179.59,0.48,2.8,2.77,0,5.54,3.77,0,0,0,2.99,0,64.95,0,5.89,4.17,82.85,0.74
120,0,0,0,10.29,0,2.27,73.58,27.89,3.26,5.31,38.66,2.28,0,0,8.18,0,0,4.74,0,33.56,0,0,11.08,679.42,2.24,11.19,0,0,0,19.57,0,0,1.04,3.31,0,45.42,0,5.78,7.3,103.52,0
