stage,blastomeres,iridophores,neural,paraxial_mesoderm,spinal_cord,visceral_smooth_muscle
  3-4,11.05,0,0,0,0,0
  7-9,0,0,4.33,0,0,0
 14-21,0,0,0,0.89,0.94,0
 36-46,0,0,1.62,0,0,0
 48-58,0,3.23,0,0,0,0
 72-82,0,0,0,0,0,0.76
108-118,0,0,3.13,0,0,0
