stage,erythrocytes,eye,fin_mesenchyme,liver,mesenchyme,neural,otic,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,1.41,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.42,1.6
 60-70,0,11.04,0.84,1.41,0,0,0,2.58,5.49,0
 72-82,0.56,6.9,0,0,0,0,0.54,0,0,0
 84-94,0.93,0.57,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.98,0,0,0,0,0
