stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,17.74,188.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.87,0,0,0,0,0,0,0,0
  5-6,15.15,262.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.33,0,0,0,0,44.06,0,0,0,0,0,0,0,0
  7-9,0,0,0,18.78,0,0,0,4.95,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,100.53,9.54,0,0,62.27,0,0,0,0,0,0,0,0,0
 10-12,0,12.42,0,7.93,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.64,8.4,0,0,51.7,0,0,17.97,0,0,0,0,0,0
 14-21,0,0,0,0,23.99,0,0,1.76,0,0,1.62,0,0,0,0,0,0,1.02,0.88,0,0,2.47,17.78,3.06,0,0,0,0,2.22,0,0,4.12,0,0,0,0
 24-34,0,0,0,0,0.64,0,0,1.86,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,27.33,0,0,0,0,10.23,0,0,0,3.03,0,0,0.83,0
 36-46,0,0,0,0,0,0,0,9.73,0,0,0.78,0,0,0,0,0,0,0,8.18,0,0,0,14.46,0,0,0,0,6.69,0,0,3.87,10.24,0,0,0,0
 48-58,0,0,0,0,1.94,0,0,2.48,0.5,3.49,0,0,0,0,0,0,0,0,0.91,0,0,0.59,14.34,0,0,0,0,23.59,0,0,0,5.66,0,0,0,0
 60-70,0,0,0,0,0,0,0,14,0,0,2.46,0,0,0.6,0,0,3.85,0,1.3,0,2.79,0,18.75,0,0,0,0,10.4,0,0,0,3.08,0,0,0,0.9
 72-82,0,0,0,0,6.46,0,0,1.87,0,0,0,0,0,0,0,0,0,1.32,0,1.05,0.96,0,16.56,0,0,0,0,11.64,0,0,0,0,0,0,1.29,4.8
 84-94,0,0,1.23,0,3.67,0,0,2.68,0,0.55,0.8,2.03,0,0,1.68,1.78,0,1.17,0,0,4.39,0,10.29,0,0,0,0,26.61,0,0,0,0,2.04,0,0,2.25
 96-106,0,0,0,0,5.53,0,3.15,7.05,0,0,0.68,3.82,0,0,2.64,0,0,6.28,5.7,3.89,2.68,0,3.82,0,0.75,0,0,19.93,0,1.37,0,0,0,1.85,1.6,4.41
108-118,0,0,1.18,0,7.24,0,0,4.51,0,0.72,0,7.45,0,0,3.71,0.67,0,1.89,2.82,0,0,3.31,7.12,0,0.59,1.33,0,27.91,0,0,0,0,0.5,0,0,0
120,0,0,0,0,18.77,2.57,0,16.1,0,0,0,37.03,0,0,3.53,0,0,2.52,2.97,0,5.15,10.8,32.21,0,0,0,0,31.45,0,0,0,0,3.65,0,0,0
