stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,xanthophores
  3-4,68.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.03,0,0,0,0,0,0,0,0
  5-6,54.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.92,0,0,0,10.94,0,0,0,0,0,0,0,0,0
 10-12,5.54,0,12.15,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.29,17.74,0,0,11.47,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.79,5.58,0,0,14.05,0,0,0.88,0.96,0,0,0,0,0,0,0,6.2,0,0,6.76,82.52,0,0,10.28,2.33,0,8.43,3.66,4.34,5.37,22.31,0,0,0
 24-34,0,0,0,8.33,0,0,5.84,0,0,0,2.33,0,0.94,0,0,0.63,0.78,5.34,4.74,0,0,1.62,32.05,0.69,0,19.88,0,0,0,0.79,1.69,0,28.28,0,0,0
 36-46,0,0,0,0.82,0,0,2.81,0,0,1.96,1.97,0,0,0,0,0,0,14.35,1.12,0,0,0.68,17.99,0.6,0,63.43,0,0.56,0,0,0,0,15.67,0,0,0
 48-58,0,0,0,0,0,0,4.37,0,0,1.44,0.45,0,0,1.62,0,0,0,22.58,3.28,0,0,0,25.28,0,0,88.91,0,0,0,0,0,0,5.03,0,0,0
 60-70,0,0,0,0,0,0,5.67,0,0,7.95,0,1.07,0,2.2,0,0,0,54.75,0.97,0,0,2.71,13.72,0,0,120.67,0,6.67,0,0,0,0,0.64,0,3.4,0
 72-82,0,0,0,0.7,0,1.39,4.37,0,0,8.11,1.9,0,0,1.98,0.61,0,1.04,158.4,9.07,0,0,0,27.33,0,0,120.71,0,1.35,0,0,0,0,2.85,0,0,0
 84-94,0,0.56,0,0.87,6.6,6.51,9.75,0,1.36,0.58,0,2.44,0,2.8,0,0,0,336.53,12.12,0,2.76,0,33.6,0,0,117.81,0,1.83,0,0,0,0,0,0,0.68,0
 96-106,0,1.07,0,2.68,0,0.77,17.78,0.9,0,20.96,0,0,0,1.08,0.66,0,0,725.33,19.8,2.09,0,0,73.22,0,0,223.86,0,9.22,0,0,0,0,9.4,2.05,0,0
108-118,0,3.1,0,6.54,2.19,0.55,18.53,0,0,1.42,1,0,0,3.3,1.28,0,0,1032.44,22.09,0,0,0,114.82,2.66,0.87,184.79,0,2.15,0,1.23,0,0,10.91,0,0.5,2.63
120,0,2.44,0,15.49,1.47,0,10.56,0,1.83,13.16,1.14,0,0,1.11,0,0,0,1072.3,15.54,0,0,3.45,83.21,0,0,241.63,0,0,0,0,0,0,8.67,0,0,0
