stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,106.63,2241.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.83,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.05,984.61,0,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,45.59,0,0,0,0,9.25,0,0,0,0,0,0,0,0,0,0,0
  7-9,184.03,12.21,0,5.48,0,0,0,40.76,0,0,0,0,0,792.05,0,0,0,0,0,0,0,0,0,0,259.8,135.94,0,0,70.41,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,39.21,0,31.31,0,0,0,122.19,0,0,0,0,0,69.38,0,0,0,0,0,10.63,0,0,0,0,1136.08,152.87,0,0,101.95,0,18.98,0,0,0,0,13,0,0,0,0,0
 14-21,0,0,7.53,1.14,7.85,3.41,0,25.61,0,0,0,5.57,1.97,0,0,0,0,0,0,0,0,3.74,0,5.95,522.79,18.1,2.62,0.91,0.8,0,1.33,2.18,0.84,0,5.99,160.59,0,0,0,0,0
 24-34,0,0,5.67,0,3.22,0,0,21.49,0,0,0.72,12.79,0,0,1.04,0.64,0,0,0,0,0,17.26,0,15.24,825.88,0.65,16.63,1.79,0,1.34,0,0,0,0,1.72,196.77,0,0,9.21,0,0
 36-46,0,0,1.03,0,2.88,0,0,37.83,0,0,1.41,26.92,0,0,0,0,0,0,0,6.28,0,24.39,0.7,28.08,1090.11,0.57,6.47,2.59,0,0,0,0,0,0,0.75,221.7,0,0,0,0,0
 48-58,0,0,0.49,0,1.76,0,0,148.54,0,1.47,0,35.18,0,1.7,0.39,0,0,5.25,0,3.96,6.25,35.15,0.84,16.78,1036.16,0,8.17,0,0,0.37,0,0,0,0,0,193.32,0,0,1.49,0,3.49
 60-70,0,0,0,0,4.85,0,0,178.7,0,1.49,0.63,50.7,1.88,0,0,0.65,1.02,0,0,0,0,55.17,2.45,3.95,1050.66,0,2.49,0,0,0,0,0,0,1.32,0,193.87,1.62,0,3.21,0,0
 72-82,0,0,1.98,0,2.28,0.82,0,250.79,0,0,1.71,48.84,0,0,0,0,0,0,0,0,0,84.09,3.89,8.1,864.35,0,7.44,1.99,0,0.88,0,0,0.97,0,0,77.95,3.8,4.77,0,2.78,0
 84-94,0,0,0,0,6.38,0,2.83,159.16,0,0,1.51,58.07,4.59,0,0,0,0,0,1.53,0.58,5.31,49.99,0.95,12.63,505.15,0,21.78,2.79,0,1.35,0,0,0,1.45,0,58.69,0,2.05,0,1.06,0
 96-106,0,0,2.96,0,0,6.89,0,106.9,0,0.57,0,51.91,1.16,0,0,0,0,3.6,0,2.16,0,56.98,6.5,5.63,426.83,0,13.23,1.04,0,2.55,0,0,0,0,0,31.68,0,1.16,0.74,2.09,9.02
108-118,0,0,1.45,0,19.75,6.28,0,125.12,0.44,0,0,45.16,0.95,0,0,0,0,0,0,0.73,0,69.3,1.29,3.55,666.75,0,5.12,0,0,0.48,0.64,0,0,0,0,27.33,1.7,0.96,2.92,0,0
120,0,0,11.35,0,7.44,0,0,70.48,0,0,2.41,70.08,0,0,0,4.51,0,0,0,3.67,0,49.07,0,0,975.61,2.98,5.55,1.34,0,0,0,0,0,0,0,32.44,0,6.76,1.46,0,0
