stage,blastomeres,epidermis,eye,glial,hatching.gland,heart,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord
  3-4,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.98,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,12.25,0,0,0,0,0,35.66,0,14.63,0,0,0
 10-12,0,0,0,0,9.8,0,0,0,0,5.8,4.39,0,0,0
 14-21,0,0.82,0,1.13,0,0,0,1.17,6.68,0,0,5.11,0,1.9
 24-34,0,2.2,0.79,0,0,0.69,0,0,5.08,0,0,24.88,0.71,0
 36-46,0,0,0,0,0,0,0,0,6.48,0,0,5.09,0,0.59
 48-58,0,0,1.49,0.78,0,0,0,0.43,0.79,0,0,0,0,0.44
 60-70,0,0,1.09,0,0,0,5.17,0,3.97,0,0,0,0,0
 72-82,0,0,0,0.78,0,0,0,0,5.83,0,0,0,0,0
