stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.83,72.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.94,0,0,0,0,0,0,0,0,0,0,69.97,0,0,0,19.03,0,0,14.26,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,2.56,0,0,47.62,0,0,0,0,0,0,0,0,0,0,0,0.62,2.02,0,0,0.75,35.89,0,0,0,0,0,0.95,0,0,1.25,0,0,0,0,0
 36-46,0,0,0,0,0,55.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.39,0,0,0,0,0,0,0,0,18.18,0,0,0,0,0
 48-58,0,0,0,7.67,0,129.31,0,0,0,2.8,0,0,0,0,2.86,0,1.52,0,0,0,0,4.43,68.09,0,0,0,0,0,0,0,0,11.23,0,0,0.52,0,0
 60-70,0,0,0,1.95,0,2137.84,0,0,0,12.86,0,0,1.09,0,0,0,0,0,10.29,0,0,0,104.66,0,0,0,0,0,4.89,2.11,0,10.47,0,0,0,0,0
 72-82,0,0,0,6.67,3.09,3397.89,0,0,4.14,3.95,0.77,0,0,0,0,0.79,6.97,0,12.79,2.23,0,1.05,88.4,0,0.7,3.56,0,0,0,0,0,2.83,0,0,0.99,0,0
 84-94,0,0,0,9.01,0,3902.26,0,0.79,0,20.2,0,0,0,0.72,0,0,7.69,0,10.67,1.19,0.87,0,94,0,0,0.65,0,0,4.1,0,0,4,0,0,0.64,3.29,0
 96-106,0,0,0,9.82,7.38,3261.06,1.21,0,3.28,28.36,0,0,0.61,0,0.58,3.36,1.47,0,27.9,0,0,5.3,69.71,1.15,1.91,2.27,0,0,2.66,1.67,0.9,0.97,0,0,5.14,0,2.67
108-118,0,0,0,2.06,0,2835.43,0,0.97,0,3.89,0,0,0.43,0,0,0,1.74,0,18.03,0,0,1.02,53.85,0,0,0,0,1.53,0.88,0,0,0,1.35,1.97,6.77,0,0
120,0,0,0,2.87,8.19,3532.53,0,7.04,0,12.99,0,0,0,2.03,0,0,0,0,6.85,0,0,0,68.07,0,0,0,0,0,0,0,0,0,0,11.5,1.07,0,0
