stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,24.79,121.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0,0
  5-6,0,198.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74,0,0,0,6.56,0,29.65,0,0,0,0,0,0,0,0,0,0
  7-9,3.8,31.13,0,136.94,0,0,0,107.16,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,481.63,6.92,0,0,123.3,0,0,7.58,0,0,0,0,0,0,0,0,0
 10-12,0,68.63,0,82.7,0,0,0,91.32,0,0,0,0,0,13.76,0,0,0,0,0,0,0,0,0,0,1617.92,5.47,0,0,225.05,0,0,0,0,23.86,0,19.51,10.18,0,0,0,0
 14-21,0,0,0,5.48,29.14,28.43,0,18.47,0,0,0,3.91,2.21,0,2.36,1.01,0.9,0,0,0,32.08,0,0,6.47,443.49,3.89,0,0.87,4.87,0,5.25,0,3.91,2.35,2.86,33.23,86.83,0,0,3.08,0
 24-34,0,0,0,0,14.39,2.97,0,36.16,0,0,0,4.69,0.66,0,9.43,3.08,0,1.17,0,0.68,58.45,0,0.91,13.78,465,11.58,0,3,0,0,6.4,0,0,7.98,0.66,2.62,86.88,0,0,30.28,0
 36-46,0,0,0,0,6.67,0.73,0,37.01,1.5,4.2,0,16.45,3.01,0,13.69,4.49,2.38,0,0,0,83.96,0,0,12.05,444.51,11.18,2.15,2.53,0,2.66,10.24,0.81,0,1.36,1.32,0,52.14,0,0,20.04,0.78
 48-58,0,0,0,0,14.58,0,0,59.42,0,0,0,48.72,3.01,0,10.3,0.51,9.22,0,0,0,60.68,0,4.73,4.88,423.59,13.96,0.72,3.88,0,0.91,7.13,0,0,1.12,0,0,39.94,0,0,4.2,0
 60-70,2.52,0,0.82,0,27.67,7.97,0,58.24,0,9.3,0,69.21,0,0,18.37,11.97,0,0.67,1.03,1.19,99.19,1.27,10.03,13.52,499.82,14.31,0,0,0,3.49,13.71,0,0,0,0,0,21.13,0.99,8.07,5.29,0
 72-82,0,0,0,0,22.8,2.07,0,79.2,0,0,0,148.24,0.49,1.02,12.6,6.22,0,0,0.65,3.06,90.14,0.51,11.78,10.66,482.19,3.5,0,7.21,0,8.35,15.66,0,0,2.99,0,0,12.15,0,1.01,8.56,2.91
 84-94,0,0,0,1,47.03,0,0.59,70.11,0,0,1.65,123.41,4.98,0,6.02,0,2.68,1.67,0,4.38,96.11,0,29.47,4.2,335.46,3.1,0,2.8,0,4.67,12.59,0,0,2.03,0,0,11.88,2.26,2.56,11.81,27.62
 96-106,0,0,0,0,38.1,1.76,0,62.35,0,0.62,0,219.39,4.45,0,9.34,9.32,0,0,3.73,1.36,109.71,0,16.27,6.45,289.68,5.1,2.82,7.81,0,24.78,25.91,0,0,0.67,0,0,7.77,0.7,0,5.56,19.85
108-118,0,0,0,0,59.29,0.52,0,84.04,1.82,4.42,1.08,203.14,11.23,0,5.71,12.6,2.7,0,1.82,0.87,98.1,0,21.85,14.62,416.07,14.04,8.71,5.25,0,21.25,13.02,0,0,5.23,0,0,5.24,1.9,1.74,4.59,6.22
120,2.37,0,0,0,43.49,2.18,0,143.72,1.26,2.55,0,241.02,19.94,0,22.23,33.89,3.85,0,11.06,2.3,75.17,0,2.51,29,810.15,17.51,1.7,3.31,0,18.18,15.31,0,0,0,0,0,15.2,2.36,0,22.33,19.16
