stage,endocrine.pancreas,epidermis,eye,glial,gut,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pronephros,spinal.cord
 10-12,0,0,0,0,0,0,0,0,0,0,22.56,3.72,0,0,11.29,0,0
 14-21,0,0.85,0,25.34,0,0,0,0,1.17,0,22.66,0,0,0,0,14.72,74.33
 24-34,0.75,0.69,0.82,19.51,0,0,0,0,1.73,0,19.65,2.77,1.55,0,0,9.84,72.95
 36-46,0.85,0,0,20.21,0,0,0,0,0.58,0,22.99,0,0,0,0,2.63,37.01
 48-58,0,0,0.67,28.29,0,0,0,0,0,0,48.3,0,0.89,0,0,6.4,43.48
 60-70,0,0,13.36,40.66,0,0,0.77,0,0,0,28.6,0,3.6,0,0,5.3,48.26
 72-82,0,0,0,27.07,0.64,0,0,0,0,0.53,12.2,0,6.5,0,0,0.57,26.6
 84-94,0.8,0,0,30.84,0,0,0,0,1.76,0,11.93,0,9.51,0,0,3.7,24.1
 96-106,0,0,0,27.95,0.83,0,1.28,0,0,0,5.71,0,9.9,2.8,0,1.74,2.55
108-118,0,0,0,23.8,0,1.58,0.98,3.67,0,0,8.9,0,8.09,1.22,0,2.59,8.86
120,0,0,0,7.19,0,0,0,0,0,0,4.75,0,0,5.36,0,5.09,0
