stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,161.53,1.01,0,0,0,0,0,0
 24-34,0,2.14,0.84,0,0,0,1.37,0,0,0,0,0,0,0.6,0,0,0,2.01,1.39,0,1.53,25.54,0,0,0,0,231.9,0,2.68,0,0,0,0,0
 36-46,0,0,0,0,2.65,0,14.67,0,0,5.24,0,0,0,9.19,0,0,0,0.57,2.71,0,0,8.84,0,0,0,0,531.03,0,2.71,0,0,0,0,0
 48-58,0,2.42,0,0,9.59,0,33.13,1.9,2.56,1.42,0,0,0,0.42,0,0,0,2.94,10.86,0,0.48,34.95,0.49,1.36,0,0,765.22,0,9.81,0,0,0,0,0
 60-70,0,17.2,0,0,13.51,0,45.8,0,1.48,0,0,0,0,2.8,0,0,0,2.8,2.39,0,0,48.47,0,1.56,3.1,0,1179.17,0,8.77,0,0,0,0,0
 72-82,0,36.31,0,0,34,0,37.71,0,2.98,3.96,2.07,0,0,8.97,0,0,0,2.2,9.37,0,0,39.74,6.11,10.88,3.71,0,1677.91,0,6.71,0.81,0,7.12,1.37,3.58
 84-94,0.7,89.26,0,0,45.87,1.16,147,0,0.75,2.33,0,0,0.81,29.49,0,0,0,7.98,25.61,0,2.83,48.12,0,17.59,0,0,4724.62,0,0,0,0,0,0,0
 96-106,0,274.02,2.27,2,58.57,0.67,265.81,1.54,18.61,8.05,0,0.86,6.38,71.9,0.57,0,23.24,24.26,51.63,5.59,4.08,151.5,6.5,32.47,1.67,1.6,5720.66,0,0,4.29,0.72,7.56,0,14.15
108-118,0,244.31,2.24,1.38,35.73,0,355.2,6.53,3.35,9.43,0,0,2.13,97.77,0,2.46,0.93,21.79,78.38,2.51,4.39,115.94,0,19.11,1.18,0,6154.35,0,2.91,3.12,0,3.53,2.02,0
120,0,110.91,14.11,7.12,43.34,0,178.25,0,14.04,3.73,0,1.17,0,31.26,0,0,0,26.39,41.47,4.76,5.57,65.52,0,13.86,0,0,2397.06,0,5.71,1.27,0,10.86,0,0
