stage,axial,blastomeres,eye,liver,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,slow_muscle,spinal_cord
  3-4,12.95,150.9,0,0,0,0,0,0,0,0,0
  5-6,15.05,58.35,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,10.67,0,10.86,0,0,0
 10-12,0,0,0,0,0,5.06,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.53,1.22,0
 24-34,0,0,0,0,0,2.07,0,0,0.88,0,1.34
 36-46,0,0,0,0,0,14.7,3.12,0,0,0,0
 48-58,0,0,0,0,0,6.33,0,0,0,0,0
 60-70,0,0,3.24,0,0,4.33,0,0,0,0,0
 72-82,0,0,2.46,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.75,0,0,0,0,0,0
 96-106,0,0,1.89,0,2.08,0,0,0,0,0,0
108-118,0,0,4.29,0.56,0,2,0,0,0,0,0
120,0,0,5.55,1.01,0,1.72,0,0,0,0,0
